id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9783.37,1.0,5408440000.0,163437555040,16705650.0,16705650.0,21000000.0,0.3,1.26,20.9,1511840951
ethereum,Ethereum,ETH,2,480.257,0.0494468,1412420000.0,46103578424.0,95997723.0,95997723.0,null,0.06,0.74,32.03,1511840952
bitcoin-cash,Bitcoin Cash,BCH,3,1622.12,0.167011,1323430000.0,27293730291.0,16825963.0,16825963.0,21000000.0,1.27,-5.47,36.48,1511840965
ripple,Ripple,XRP,4,0.269017,0.00002767,378254000.0,10390208729.0,38622870411.0,99993173757.0,100000000000,-0.35,7.32,13.48,1511841241
bitcoin-gold,Bitcoin Gold,BTG,5,354.303,0.0364786,108647000.0,5908236751.0,16675661.0,16775661.0,21000000.0,0.51,-5.37,39.28,1511840973
litecoin,Litecoin,LTC,6,91.7045,0.00943101,414758000.0,4954494550.0,54026733.0,54026733.0,84000000.0,0.5,2.44,29.07,1511841241
dash,Dash,DASH,7,630.169,0.0648815,138185000.0,4861598151.0,7714753.0,7714753.0,18900000.0,0.46,0.1,34.2,1511840946
iota,IOTA,MIOTA,8,1.13158,0.00011651,229808000.0,3145260878.0,2779530283.0,2779530283.0,2779530283.0,-2.95,37.35,22.91,1511840963
ethereum-classic,Ethereum Classic,ETC,9,29.4048,0.00302748,1137000000.0,2877689608.0,97864621.0,97864621.0,null,-0.41,32.76,62.68,1511840954
monero,Monero,XMR,10,178.965,0.018405,104543000.0,2757585538.0,15408519.0,15408519.0,null,0.52,9.32,30.66,1511841244
neo,NEO,NEO,11,39.2217,0.00403822,80271000.0,2549410500.0,65000000.0,100000000.0,null,-0.36,-1.64,9.58,1511840954
nem,NEM,XEM,12,0.235398,0.00002424,23458600.0,2118582000.0,8999999999.0,8999999999.0,null,0.37,8.25,12.86,1511840947
eos,EOS,EOS,13,2.97853,0.00030667,137629000.0,1502451818.0,504427291.0,1000000000.0,null,4.07,21.45,51.66,1511840964
cardano,Cardano,ADA,14,0.0491428,0.00000506,78186400.0,1274128842.0,25927070538.0,31112483745.0,45000000000.0,0.07,26.34,70.61,1511840970
qtum,Qtum,QTUM,15,15.4714,0.00159292,210820000.0,1140133756.0,73692992.0,100192992.0,null,4.7,4.75,6.75,1511840963
stellar,Stellar Lumens,XLM,16,0.0589812,0.00000607,55252100.0,1045356852.0,17723560248.0,103471840067,null,2.2,19.52,56.1,1511840945
omisego,OmiseGO,OMG,17,9.75879,0.00100475,63053500.0,995811834.0,102042552.0,140245398.0,null,3.14,11.76,23.79,1511840965
zcash,Zcash,ZEC,18,350.921,0.0361304,94299200.0,952888690.0,2715394.0,2715394.0,null,0.78,2.92,18.22,1511840955
lisk,Lisk,LSK,19,8.23232,0.00084759,29413700.0,949660250.0,115357548.0,115357548.0,null,1.86,3.96,-15.82,1511840953
hshare,Hshare,HSR,20,20.0944,0.0020689,67125000.0,850071569.0,42303904.0,42303904.0,84000000.0,-1.0,-4.0,9.95,1511840968
tether,Tether,USDT,21,0.998637,0.00010282,767477000.0,674047858.0,674967839.0,675000482.0,null,-0.26,-0.96,-0.13,1511840948
bitconnect,BitConnect,BCC,22,295.987,0.0304745,25860300.0,632847437.0,2138092.0,8392580.0,28000000.0,-0.74,1.81,1.18,1511840957
waves,Waves,WAVES,23,5.76441,0.0005935,24007100.0,576441000.0,100000000.0,100000000.0,null,0.58,2.61,11.67,1511840952
stratis,Stratis,STRAT,24,5.17546,0.00053286,23116200.0,510502951.0,98639145.0,98639145.0,null,-1.24,12.42,51.18,1511840954
populous,Populous,PPT,25,11.5305,0.00118716,855105.0,475659023.0,41252246.0,53252246.0,53252246.0,1.12,0.24,17.57,1511840965
bitshares,BitShares,BTS,26,0.154961,0.00001594,32983600.0,403349537.0,2602910000.0,2602910000.0,3600570502.0,1.16,11.99,16.96,1511841245
monacoin,MonaCoin,MONA,27,6.75413,0.0006946,61645600.0,375735291.0,55630450.0,55630450.0,null,0.67,40.69,131.21,1511841244
ark,Ark,ARK,28,3.68104,0.000379,11751100.0,360673026.0,97981284.0,129231284.0,null,0.13,6.95,19.36,1511840959
decred,Decred,DCR,29,57.6113,0.00593159,9823860.0,359939595.0,6247726.0,6667726.0,null,-0.09,-12.72,71.18,1511840952
ardor,Ardor,ARDR,30,0.33563,0.00003456,4245240.0,335294201.0,998999495.0,998999495.0,998999495.0,0.32,-2.02,26.14,1511840955
augur,Augur,REP,31,29.0804,0.00299409,3752200.0,319884400.0,11000000.0,11000000.0,null,1.14,5.18,39.7,1511840950
bytecoin-bcn,Bytecoin,BCN,32,0.00173991,0.00000018,4758740.0,318844657.0,183253534612,183253534612,184470000000,0.76,0.86,37.53,1511841246
komodo,Komodo,KMD,33,3.05466,0.0003145,9719260.0,316555605.0,103630389.0,103630389.0,null,-0.51,0.86,28.64,1511840957
steem,Steem,STEEM,34,1.2235,0.00012597,4755710.0,301840277.0,246702310.0,263676404.0,null,1.94,11.23,35.58,1511840951
golem-network-tokens,Golem,GNT,35,0.339149,0.00003492,17040100.0,282521970.0,833032000.0,1000000000.0,null,-10.12,14.39,57.95,1511840956
power-ledger,Power Ledger,POWR,36,0.700476,0.00007212,46795900.0,245415199.0,350354900.0,1000000000.0,null,2.76,-7.56,29.83,1511840976
tenx,TenX,PAY,37,2.30316,0.00023713,6816380.0,241051743.0,104661310.0,205218256.0,null,-0.37,-0.38,20.98,1511840963
maidsafecoin,MaidSafeCoin,MAID,38,0.492273,0.00005063,2210770.0,222779334.0,452552412.0,452552412.0,null,0.83,3.81,27.95,1511841244
