id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9728.84,1.0,6481370000.0,162516740631,16704637.0,16704637.0,21000000.0,0.38,6.36,19.07,1511797453
ethereum,Ethereum,ETH,2,481.824,0.0497938,1503220000.0,46249189098.0,95987724.0,95987724.0,null,-0.71,4.89,33.09,1511797454
bitcoin-cash,Bitcoin Cash,BCH,3,1652.43,0.170769,1983420000.0,27802465236.0,16825200.0,16825200.0,21000000.0,-0.25,3.31,38.97,1511797469
ripple,Ripple,XRP,4,0.252317,0.00002608,195791000.0,9745206793.0,38622870411.0,99993173757.0,100000000000,0.19,0.4,5.26,1511797441
bitcoin-gold,Bitcoin Gold,BTG,5,361.519,0.0373609,146606000.0,6028229397.0,16674724.0,16774724.0,21000000.0,-0.32,4.38,181.85,1511797477
litecoin,Litecoin,LTC,6,91.5955,0.00946587,445823000.0,4947877452.0,54018783.0,54018783.0,84000000.0,0.96,6.28,27.55,1511797442
dash,Dash,DASH,7,631.958,0.0653092,153959000.0,4874771416.0,7713759.0,7713759.0,18900000.0,0.18,0.92,41.98,1511797446
iota,IOTA,MIOTA,8,0.975609,0.00010082,112053000.0,2711734760.0,2779530283.0,2779530283.0,2779530283.0,2.53,24.45,2.75,1511797465
neo,NEO,NEO,9,39.7974,0.00411284,89510800.0,2586831000.0,65000000.0,100000000.0,null,-0.04,4.14,-0.86,1511797457
monero,Monero,XMR,10,165.234,0.017076,77372700.0,2545655998.0,15406369.0,15406369.0,null,0.67,2.33,21.45,1511797444
ethereum-classic,Ethereum Classic,ETC,11,25.8003,0.00266631,566266000.0,2524505226.0,97847902.0,97847902.0,null,5.97,16.12,39.14,1511797454
nem,NEM,XEM,12,0.220715,0.00002281,12672500.0,1986435000.0,8999999999.0,8999999999.0,null,0.45,1.11,4.42,1511797448
eos,EOS,EOS,13,2.80735,0.00029012,137914000.0,1411154379.0,502664213.0,1000000000.0,null,-0.6,14.53,44.54,1511797466
cardano,Cardano,ADA,14,0.0474114,0.00000490,76786800.0,1229238712.0,25927070538.0,31112483745.0,45000000000.0,-1.86,32.07,56.12,1511797473
qtum,Qtum,QTUM,15,14.877,0.00153746,137932000.0,1096312730.0,73691788.0,100191788.0,null,1.46,0.54,0.46,1511797465
omisego,OmiseGO,OMG,16,9.14446,0.00094503,49447300.0,933124033.0,102042552.0,140245398.0,null,1.23,7.36,14.81,1511797468
stellar,Stellar Lumens,XLM,17,0.0524305,0.00000542,24235200.0,928746222.0,17713853990.0,103452109577,null,1.83,11.28,37.09,1511797445
zcash,Zcash,ZEC,18,339.498,0.0350851,91176100.0,920652798.0,2711806.0,2711806.0,null,0.47,0.52,12.92,1511797457
lisk,Lisk,LSK,19,7.62816,0.00078833,32052300.0,879834263.0,115340300.0,115340300.0,null,-1.15,-2.39,-24.11,1511797468
hshare,Hshare,HSR,20,19.7032,0.00203621,64033900.0,833482465.0,42301883.0,42301883.0,84000000.0,1.48,-2.92,7.7,1511797470
