id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9840.39,1.0,5444580000.0,164391213327,16705762.0,16705762.0,21000000.0,0.64,1.79,21.81,1511844553
ethereum,Ethereum,ETH,2,481.476,0.0493041,1387110000.0,46221046428.0,95998651.0,95998651.0,null,0.28,0.21,32.6,1511844552
bitcoin-cash,Bitcoin Cash,BCH,3,1607.03,0.164563,1323380000.0,27040047483.0,16826100.0,16826100.0,21000000.0,-0.27,-6.21,35.29,1511844566
ripple,Ripple,XRP,4,0.271366,0.00002769,400441000.0,10480933852.0,38622870411.0,99993173757.0,100000000000,0.44,8.1,14.72,1511844841
bitcoin-gold,Bitcoin Gold,BTG,5,355.927,0.0364477,107277000.0,5935340270.0,16675724.0,16775724.0,21000000.0,0.38,-5.99,33.69,1511844572
litecoin,Litecoin,LTC,6,93.8398,0.0095741,390254000.0,5069911792.0,54027308.0,54027308.0,84000000.0,2.16,3.1,32.38,1511844842
dash,Dash,DASH,7,633.413,0.0648628,136890000.0,4886675017.0,7714832.0,7714832.0,18900000.0,0.46,0.23,34.3,1511844546
iota,IOTA,MIOTA,8,1.17982,0.00012082,243978000.0,3279345418.0,2779530283.0,2779530283.0,2779530283.0,3.91,43.21,29.34,1511844564
ethereum-classic,Ethereum Classic,ETC,9,29.7178,0.00304316,1202280000.0,2908343790.0,97865380.0,97865380.0,null,0.71,33.66,64.94,1511844553
monero,Monero,XMR,10,183.476,0.0187193,110333000.0,2827130571.0,15408721.0,15408721.0,null,2.59,11.03,34.24,1511844844
neo,NEO,NEO,11,39.9455,0.0040905,81965100.0,2596457500.0,65000000.0,100000000.0,null,1.87,-0.11,11.7,1511844554
nem,NEM,XEM,12,0.237781,0.00002435,23467500.0,2140029000.0,8999999999.0,8999999999.0,null,0.64,8.95,14.18,1511844547
eos,EOS,EOS,13,2.96105,0.00030322,141524000.0,1493989562.0,504547225.0,1000000000.0,null,-0.28,18.88,51.32,1511844564
cardano,Cardano,ADA,14,0.0518507,0.00000531,77684600.0,1344336756.0,25927070538.0,31112483745.0,45000000000.0,5.05,27.08,80.96,1511844568
qtum,Qtum,QTUM,15,15.6281,0.00160035,228301000.0,1151683074.0,73693096.0,100193096.0,null,0.06,5.71,8.37,1511844562
stellar,Stellar Lumens,XLM,16,0.0584947,0.00000599,56113700.0,1036734340.0,17723560248.0,103471840067,null,-0.89,17.76,55.07,1511844545
omisego,OmiseGO,OMG,17,9.93039,0.00101689,67900300.0,1013322336.0,102042552.0,140245398.0,null,2.05,13.19,26.24,1511844564
zcash,Zcash,ZEC,18,351.62,0.0360066,95419700.0,954879051.0,2715656.0,2715656.0,null,0.06,3.07,18.74,1511844554
lisk,Lisk,LSK,19,8.22251,0.000842,29634300.0,948540432.0,115358988.0,115358988.0,null,-0.19,3.4,-15.97,1511844552
hshare,Hshare,HSR,20,20.1227,0.0020606,66959000.0,851272053.0,42304067.0,42304067.0,84000000.0,0.92,-3.77,9.97,1511844568
tether,Tether,USDT,21,0.997459,0.00010214,771366000.0,673252746.0,674967839.0,675000482.0,null,-0.06,-1.06,-0.26,1511844550
bitconnect,BitConnect,BCC,22,298.05,0.0305209,25599800.0,637258321.0,2138092.0,8392580.0,28000000.0,0.61,1.24,2.0,1511844556
waves,Waves,WAVES,23,5.871,0.0006012,24768900.0,587100000.0,100000000.0,100000000.0,null,2.06,4.23,14.01,1511844553
stratis,Stratis,STRAT,24,5.34473,0.00054731,23550500.0,527199882.0,98639198.0,98639198.0,null,3.1,16.16,56.43,1511844553
populous,Populous,PPT,25,11.6235,0.00119027,857721.0,479495481.0,41252246.0,53252246.0,53252246.0,1.43,0.71,18.24,1511844563
bitshares,BitShares,BTS,26,0.156538,0.00001597,33301900.0,407455891.0,2602920000.0,2602920000.0,3600570502.0,1.0,12.37,17.02,1511844845
monacoin,MonaCoin,MONA,27,6.71481,0.00068508,60832200.0,373554448.0,55631425.0,55631425.0,null,-0.6,37.2,130.01,1511844844
ark,Ark,ARK,28,3.72591,0.00038154,12129900.0,365069446.0,97981284.0,129231284.0,null,1.43,8.28,21.0,1511844558
decred,Decred,DCR,29,57.6872,0.00590728,9468840.0,360432410.0,6248048.0,6668048.0,null,-0.67,-11.25,71.25,1511844550
ardor,Ardor,ARDR,30,0.335444,0.00003435,4243190.0,335108387.0,998999495.0,998999495.0,998999495.0,0.03,-2.98,25.51,1511844553
bytecoin-bcn,Bytecoin,BCN,31,0.00174859,0.00000018,4840960.0,320435298.0,183253534612,183253534612,184470000000,0.86,1.78,38.25,1511844847
augur,Augur,REP,32,29.0645,0.00297626,3720270.0,319709500.0,11000000.0,11000000.0,null,0.08,4.86,39.72,1511844549
komodo,Komodo,KMD,33,3.0451,0.00031183,9731300.0,315565447.0,103630570.0,103630570.0,null,-0.35,-0.24,28.53,1511844557
steem,Steem,STEEM,34,1.23533,0.0001265,4824440.0,304758765.0,246702310.0,263676404.0,null,1.34,11.78,37.07,1511844552
golem-network-tokens,Golem,GNT,35,0.362951,0.00003717,15748000.0,302349797.0,833032000.0,1000000000.0,null,5.9,18.35,69.55,1511844563
tenx,TenX,PAY,36,2.48468,0.00025444,8606800.0,260049864.0,104661310.0,205218256.0,null,7.5,6.78,30.98,1511844564
power-ledger,Power Ledger,POWR,37,0.688511,0.00007050,46422900.0,241223203.0,350354900.0,1000000000.0,null,-1.53,-9.23,28.23,1511844573
digixdao,DigixDAO,DGD,38,118.523,0.012137,16491600.0,237046000.0,2000000.0,2000000.0,null,11.07,9.95,66.87,1511844552
dogecoin,Dogecoin,DOGE,39,0.00202298,0.00000021,5421920.0,226781628.0,112102753173,112102753173,null,2.93,1.93,46.81,1511844842
exchange-union,Exchange Union,XUC,40,9.11363,0.00093325,3548450.0,226004699.0,24798538.0,3000000000.0,null,1.74,13.36,202.79,1511844572
maidsafecoin,MaidSafeCoin,MAID,41,0.496351,0.00005064,2302930.0,224624842.0,452552412.0,452552412.0,null,1.03,3.75,29.2,1511844844
vertcoin,Vertcoin,VTC,42,5.37705,0.0005486,8848130.0,223664041.0,41596050.0,41596050.0,84000000.0,0.83,-3.02,33.06,1511844842
raiden-network-token,Raiden Network Token,RDN,43,4.45771,0.00045648,19194400.0,222885500.0,50000000.0,100000000.0,null,0.67,-16.95,68.04,1511844573
pivx,PIVX,PIVX,44,4.0229,0.00041195,3547450.0,221308233.0,55012114.0,55012114.0,null,-0.25,11.07,37.71,1511844551
veritaseum,Veritaseum,VERI,45,106.17,0.010872,893546.0,215105244.0,2026045.0,100000000.0,null,-0.86,8.38,8.82,1511844563
salt,SALT,SALT,46,4.3132,0.00044168,5847290.0,212387779.0,49241347.0,120000000.0,null,0.82,-2.71,17.83,1511844568
factom,Factom,FCT,47,24.0123,0.00245891,4790180.0,209990013.0,8745102.0,8745102.0,null,-1.04,4.78,26.22,1511844551
nxt,Nxt,NXT,48,0.204879,0.00002090,45639000.0,204674109.0,998999942.0,998999942.0,1000000000.0,5.83,3.77,96.26,1511844842
siacoin,Siacoin,SC,49,0.00618972,0.00000063,3564580.0,193050229.0,31188846900.0,31188846900.0,null,-2.77,0.19,44.49,1511844549
gas,Gas,GAS,50,22.0044,0.0022533,1503790.0,189172606.0,8597035.0,11822072.0,100000000.0,-0.85,-3.41,-0.22,1511844564
basic-attention-token,Basic Attention Token,BAT,51,0.187299,0.00001918,4190810.0,187299000.0,1000000000.0,1500000000.0,null,0.46,3.82,18.07,1511844562
binance-coin,Binance Coin,BNB,52,1.8742,0.00019192,24975400.0,185572039.0,99014000.0,199013968.0,null,-0.44,2.04,16.97,1511844565
byteball,Byteball Bytes,GBYTE,53,286.264,0.029314,1055520.0,184703846.0,645222.0,1000000.0,null,2.88,2.18,22.48,1511844559
syscoin,Syscoin,SYS,54,0.334512,0.00003413,14509800.0,177013333.0,529168857.0,529168857.0,888000000.0,-0.01,-4.39,65.93,1511844846
bitcoindark,BitcoinDark,BTCD,55,137.134,0.0140428,204345.0,176746827.0,1288862.0,1288862.0,null,-1.5,-2.99,25.24,1511844547
kyber-network,Kyber Network,KNC,56,1.24958,0.00012796,7294890.0,167609535.0,134132697.0,215625349.0,null,1.67,-3.68,14.54,1511844569
walton,Walton,WTC,57,6.47702,0.00066326,33479700.0,161265997.0,24898178.0,70000000.0,100000000.0,0.29,25.11,33.1,1511844566
iconomi,Iconomi,ICN,58,1.56654,0.00016042,1333450.0,156322386.0,99788314.0,99788314.0,null,1.81,-6.32,28.45,1511844554
metaverse,Metaverse ETP,ETP,59,3.79497,0.00038861,5863240.0,138458738.0,36484804.0,55884804.0,100000000.0,1.96,0.97,17.58,1511844563
gamecredits,GameCredits,GAME,60,2.14757,0.00021991,2422210.0,138207623.0,64355352.0,64355352.0,null,0.52,-2.31,12.51,1511844546
status,Status,SNT,61,0.0390166,0.00000400,7437460.0,135406478.0,3470483788.0,6804870174.0,null,1.8,7.04,18.05,1511844564
tron,TRON,TRX,62,0.00205507,0.00000021,6061570.0,135117138.0,65748192475.0,100000000000,null,-0.11,-5.16,-2.0,1511844569
aeternity,Aeternity,AE,63,0.573278,0.00005870,1513480.0,133585510.0,233020472.0,273685830.0,null,2.59,-4.22,2.08,1511844562
bytom,Bytom,BTM,64,0.135025,0.00001383,2255250.0,133269675.0,987000000.0,1407000000.0,null,-1.53,29.68,18.29,1511844567
zcoin,ZCoin,XZC,65,37.6833,0.00385885,8251040.0,133185352.0,3534334.0,3534334.0,null,0.95,7.57,49.52,1511844554
gnosis-gno,Gnosis,GNO,66,119.737,0.0122613,3655960.0,132260293.0,1104590.0,10000000.0,null,-0.39,9.79,72.45,1511844560
civic,Civic,CVC,67,0.355076,0.00003636,2784580.0,121684545.0,342700000.0,1000000000.0,null,0.13,0.82,15.72,1511844565
ethos,Ethos,ETHOS,68,1.62866,0.00016678,1762130.0,121377872.0,74526219.0,222295208.0,null,-0.24,-4.17,-13.81,1511844566
blocknet,Blocknet,BLOCK,69,24.6446,0.00252366,475884.0,120847536.0,4903611.0,4903611.0,null,2.2,2.97,11.48,1511844546
gxshares,GXShares,GXS,70,2.95625,0.00030273,10866700.0,119757688.0,40510000.0,100000000.0,100000000.0,0.63,-0.6,27.03,1511844565
0x,0x,ZRX,71,0.228927,0.00002344,3411810.0,114463500.0,500000000.0,1000000000.0,null,-0.13,0.6,15.51,1511844567
digibyte,DigiByte,DGB,72,0.0117232,0.00000120,5592000.0,111020066.0,9470116164.0,9470116164.0,null,0.34,9.12,34.82,1511844842
bancor,Bancor,BNT,73,2.67479,0.0002739,4377650.0,109058867.0,40772871.0,79384422.0,null,-0.08,-0.96,25.37,1511844563
pura,Pura,PURA,74,0.627742,0.00006428,274764.0,107901172.0,171887769.0,178670263.0,350000000.0,2.37,-9.32,-10.56,1511844547
metal,Metal,MTL,75,5.51758,0.00056501,9770740.0,106494778.0,19300994.0,66588888.0,null,-0.47,5.2,19.38,1511844565
einsteinium,Einsteinium,EMC2,76,0.474045,0.00004836,35971800.0,102416768.0,216048620.0,216048620.0,null,-0.71,-12.31,240.44,1511844844
