id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9971.5,1.0,5614240000.0,166582383275,16705850.0,16705850.0,21000000.0,1.25,2.86,23.63,1511848153
ethereum,Ethereum,ETH,2,481.312,0.0487156,1370360000.0,46205719676.0,95999517.0,95999517.0,null,0.02,-1.06,32.71,1511848151
bitcoin-cash,Bitcoin Cash,BCH,3,1616.93,0.163657,1345460000.0,27206726931.0,16826163.0,16826163.0,21000000.0,0.52,-5.24,36.31,1511848168
ripple,Ripple,XRP,4,0.26545,0.00002684,410497000.0,10252440951.0,38622870411.0,99993173757.0,100000000000,-2.19,5.47,12.38,1511848441
bitcoin-gold,Bitcoin Gold,BTG,5,351.223,0.0355487,103248000.0,5856928398.0,16675811.0,16775811.0,21000000.0,-1.18,-7.64,27.92,1511848175
litecoin,Litecoin,LTC,6,93.0973,0.00941354,388327000.0,5029866338.0,54028058.0,54028058.0,84000000.0,-0.93,1.14,31.57,1511848441
dash,Dash,DASH,7,631.215,0.0638253,138900000.0,4869774672.0,7714922.0,7714922.0,18900000.0,-0.44,-0.7,33.21,1511848446
iota,IOTA,MIOTA,8,1.12751,0.00011412,237710000.0,3133948189.0,2779530283.0,2779530283.0,2779530283.0,-3.6,36.96,24.79,1511848165
ethereum-classic,Ethereum Classic,ETC,9,29.2761,0.00296315,1213310000.0,2865177634.0,97867463.0,97867463.0,null,-1.96,30.54,62.97,1511848156
monero,Monero,XMR,10,182.768,0.0184806,109584000.0,2816259317.0,15408930.0,15408930.0,null,-0.49,10.08,33.97,1511848444
neo,NEO,NEO,11,39.4617,0.00399408,82262800.0,2565010500.0,65000000.0,100000000.0,null,-0.69,-2.16,10.49,1511848155
nem,NEM,XEM,12,0.231092,0.00002337,23328200.0,2079828000.0,8999999999.0,8999999999.0,null,-2.48,5.42,11.15,1511848447
eos,EOS,EOS,13,2.95217,0.0002988,139934000.0,1489624198.0,504586185.0,1000000000.0,null,-0.55,14.73,51.34,1511848167
cardano,Cardano,ADA,14,0.0518664,0.00000525,77220000.0,1344743811.0,25927070538.0,31112483745.0,45000000000.0,-0.03,14.45,81.58,1511848172
qtum,Qtum,QTUM,15,15.4624,0.00156501,232468000.0,1139473550.0,73693188.0,100193188.0,null,-1.09,4.37,7.7,1511848164
stellar,Stellar Lumens,XLM,16,0.0580347,0.00000587,57717200.0,1028581502.0,17723560248.0,103471840067,null,-0.72,15.83,53.96,1511848152
omisego,OmiseGO,OMG,17,9.60997,0.00097267,69025500.0,980625861.0,102042552.0,140245398.0,null,-2.92,8.42,22.46,1511848166
zcash,Zcash,ZEC,18,352.37,0.0356649,97208100.0,957030313.0,2715981.0,2715981.0,null,0.41,2.69,19.23,1511848157
lisk,Lisk,LSK,19,8.19904,0.00082986,29521500.0,945844764.0,115360428.0,115360428.0,null,-0.25,2.95,-16.33,1511848153
hshare,Hshare,HSR,20,20.0125,0.00202555,68969800.0,846613539.0,42304237.0,42304237.0,84000000.0,-0.5,-4.24,9.34,1511848170
tether,Tether,USDT,21,0.998472,0.00010096,782431000.0,673936488.0,674967839.0,675000482.0,null,0.05,-0.97,-0.16,1511848448
