id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9711.97,1.0,5577230000.0,162241488985,16705312.0,16705312.0,21000000.0,-0.03,3.89,18.79,1511822954
ethereum,Ethereum,ETH,2,482.014,0.0498797,1389280000.0,46270254410.0,95993590.0,95993590.0,null,0.66,2.6,31.57,1511822952
bitcoin-cash,Bitcoin Cash,BCH,3,1658.41,0.171615,1524110000.0,27903722566.0,16825588.0,16825588.0,21000000.0,0.91,-3.41,38.83,1511822968
ripple,Ripple,XRP,4,0.252617,0.00002614,191797000.0,9756793655.0,38622870411.0,99993173757.0,100000000000,0.13,1.2,5.36,1511822941
bitcoin-gold,Bitcoin Gold,BTG,5,364.726,0.0377425,133533000.0,6081873921.0,16675186.0,16775186.0,21000000.0,-1.56,4.16,92.62,1511822973
dash,Dash,DASH,6,636.612,0.0658777,134725000.0,4911038238.0,7714335.0,7714335.0,18900000.0,0.6,1.39,38.69,1511822946
litecoin,Litecoin,LTC,7,90.7414,0.00939007,427771000.0,4902123392.0,54023008.0,54023008.0,84000000.0,0.18,5.13,26.23,1511822941
iota,IOTA,MIOTA,8,1.05225,0.00010889,163506000.0,2924760740.0,2779530283.0,2779530283.0,2779530283.0,1.87,28.7,10.32,1511822965
monero,Monero,XMR,9,167.645,0.0173482,74312600.0,2583007635.0,15407603.0,15407603.0,null,-0.21,2.42,21.22,1511822944
neo,NEO,NEO,10,39.6426,0.00410229,81989400.0,2576769000.0,65000000.0,100000000.0,null,0.04,2.94,7.01,1511822954
ethereum-classic,Ethereum Classic,ETC,11,26.2644,0.00271789,720199000.0,2570175168.0,97857753.0,97857753.0,null,-0.49,18.98,42.71,1511822957
nem,NEM,XEM,12,0.221329,0.00002290,12080500.0,1991961000.0,8999999999.0,8999999999.0,null,-0.26,3.09,5.16,1511822948
eos,EOS,EOS,13,2.87758,0.00029778,125036000.0,1446525296.0,502688125.0,1000000000.0,null,-1.78,15.28,44.53,1511822966
cardano,Cardano,ADA,14,0.0521784,0.00000540,75711400.0,1352833057.0,25927070538.0,31112483745.0,45000000000.0,4.04,38.14,74.93,1511822972
qtum,Qtum,QTUM,15,14.7086,0.00152207,138597000.0,1083913682.0,73692512.0,100192512.0,null,-0.05,-0.44,-1.15,1511822963
stellar,Stellar Lumens,XLM,16,0.0550729,0.00000570,31492300.0,975553309.0,17713853990.0,103452109577,null,2.76,14.77,43.46,1511822945
omisego,OmiseGO,OMG,17,9.14709,0.00094656,49016300.0,933392405.0,102042552.0,140245398.0,null,0.97,7.17,14.3,1511822968
zcash,Zcash,ZEC,18,341.787,0.0353687,87172900.0,927569331.0,2713881.0,2713881.0,null,-0.24,-0.06,13.34,1511822956
lisk,Lisk,LSK,19,7.9475,0.00082242,29307400.0,916747018.0,115350364.0,115350364.0,null,0.16,5.02,-19.45,1511822952
hshare,Hshare,HSR,20,19.6393,0.00203231,61592700.0,830802502.0,42303061.0,42303061.0,84000000.0,0.74,-4.69,7.68,1511822969
tether,Tether,USDT,21,1.00189,0.00010368,802793000.0,676243529.0,674967839.0,675000482.0,null,0.05,-1.15,0.16,1511822948
bitconnect,BitConnect,BCC,22,299.37,0.0309793,28251700.0,640080602.0,2138092.0,8392580.0,28000000.0,0.37,-0.65,1.98,1511822959
waves,Waves,WAVES,23,5.64331,0.00058398,24859600.0,564331000.0,100000000.0,100000000.0,null,-0.82,-0.93,7.64,1511822953
stratis,Stratis,STRAT,24,5.30007,0.00054846,20801800.0,522792954.0,98638877.0,98638877.0,null,1.49,14.93,52.85,1511822954
populous,Populous,PPT,25,11.4142,0.00118116,826897.0,470861386.0,41252246.0,53252246.0,53252246.0,0.4,-0.86,18.97,1511822966
monacoin,MonaCoin,MONA,26,7.35957,0.00076158,50353800.0,409381968.0,55625800.0,55625800.0,null,5.99,63.93,149.52,1511822944
bitshares,BitShares,BTS,27,0.148594,0.00001538,27877300.0,386773837.0,2602890000.0,2602890000.0,3600570502.0,0.54,7.0,18.91,1511822945
ark,Ark,ARK,28,3.77619,0.00039077,11840300.0,369995945.0,97981284.0,129231284.0,null,2.53,6.31,21.02,1511822962
decred,Decred,DCR,29,57.5147,0.00595172,11808600.0,359264980.0,6246490.0,6666490.0,null,-3.03,-6.06,69.23,1511822951
ardor,Ardor,ARDR,30,0.345052,0.00003571,4614110.0,344706774.0,998999495.0,998999495.0,998999495.0,2.73,10.34,30.94,1511822954
komodo,Komodo,KMD,31,3.13064,0.00032396,10430400.0,324426490.0,103629446.0,103629446.0,null,-0.68,5.9,30.25,1511822958
augur,Augur,REP,32,28.9063,0.00299127,3301550.0,317969300.0,11000000.0,11000000.0,null,-0.43,5.34,39.02,1511822961
bytecoin-bcn,Bytecoin,BCN,33,0.00171234,0.00000018,4383320.0,313792357.0,183253534612,183253534612,184470000000,1.98,1.51,34.37,1511822945
steem,Steem,STEEM,34,1.15712,0.00011974,4444050.0,285485140.0,246720427.0,263694521.0,null,-0.05,5.8,27.31,1511822952
golem-network-tokens,Golem,GNT,35,0.323067,0.00003343,11109700.0,269125149.0,833032000.0,1000000000.0,null,3.84,17.24,48.68,1511822957
raiden-network-token,Raiden Network Token,RDN,36,4.9064,0.00050772,20073600.0,245320000.0,50000000.0,100000000.0,null,-3.91,-6.97,82.5,1511822977
tenx,TenX,PAY,37,2.33567,0.0002417,7201740.0,244454282.0,104661310.0,205218256.0,null,0.83,2.58,13.83,1511822967
power-ledger,Power Ledger,POWR,38,0.688263,0.00007122,41671800.0,241136315.0,350354900.0,1000000000.0,null,-0.17,-9.84,16.31,1511822975
vertcoin,Vertcoin,VTC,39,5.40874,0.0005597,11628400.0,224940302.0,41588300.0,41588300.0,84000000.0,1.0,-0.13,31.76,1511822942
exchange-union,Exchange Union,XUC,40,8.87822,0.00091873,2784070.0,220166875.0,24798538.0,3000000000.0,null,-6.62,10.74,196.6,1511822975
dogecoin,Dogecoin,DOGE,41,0.00195841,0.00000020,6204840.0,219543153.0,112102753173,112102753173,null,-1.36,-1.75,40.65,1511822943
maidsafecoin,MaidSafeCoin,MAID,42,0.484693,0.00005016,2273870.0,219348986.0,452552412.0,452552412.0,null,-2.35,5.91,24.17,1511822944
digixdao,DigixDAO,DGD,43,108.12,0.0111884,14182400.0,216240000.0,2000000.0,2000000.0,null,-0.88,19.21,50.63,1511822953
veritaseum,Veritaseum,VERI,44,106.033,0.0109725,862351.0,214827676.0,2026045.0,100000000.0,null,-1.05,16.7,4.71,1511822964
salt,SALT,SALT,45,4.29055,0.00044399,6705410.0,211272463.0,49241347.0,120000000.0,null,0.43,-2.21,17.11,1511822971
nxt,Nxt,NXT,46,0.209057,0.00002163,61754100.0,208847931.0,998999942.0,998999942.0,1000000000.0,-0.71,32.54,119.77,1511822942
pivx,PIVX,PIVX,47,3.75753,0.00038884,1887730.0,206703605.0,55010500.0,55010500.0,null,0.97,7.52,28.98,1511822951
factom,Factom,FCT,48,23.2539,0.00240635,4003000.0,203357727.0,8745102.0,8745102.0,null,-0.12,3.07,21.52,1511822950
siacoin,Siacoin,SC,49,0.00631812,0.00000065,3750560.0,197019171.0,31183195505.0,31183195505.0,null,1.01,13.59,47.02,1511822950
byteball,Byteball Bytes,GBYTE,50,298.589,0.0308985,1578840.0,192656208.0,645222.0,1000000.0,null,2.73,13.74,23.96,1511822958
binance-coin,Binance Coin,BNB,51,1.91452,0.00019812,21966300.0,189564283.0,99014000.0,199013968.0,null,1.36,3.32,17.93,1511822968
gas,Gas,GAS,52,21.9569,0.00227213,1647890.0,188764247.0,8597035.0,11822072.0,100000000.0,1.39,-1.78,-2.36,1511822965
basic-attention-token,Basic Attention Token,BAT,53,0.187685,0.00001942,4100710.0,187685000.0,1000000000.0,1500000000.0,null,1.16,5.43,17.18,1511822964
syscoin,Syscoin,SYS,54,0.339875,0.00003517,20118700.0,179849360.0,529163252.0,529163252.0,888000000.0,-0.29,2.5,66.36,1511822947
bitcoindark,BitcoinDark,BTCD,55,136.407,0.0141156,144758.0,175809824.0,1288862.0,1288862.0,null,-3.0,-0.12,21.77,1511822946
kyber-network,Kyber Network,KNC,56,1.25944,0.00013033,7404340.0,168932084.0,134132697.0,215625349.0,null,0.25,-6.29,14.51,1511822972
walton,Walton,WTC,57,6.72353,0.00069576,31055900.0,167403647.0,24898178.0,70000000.0,100000000.0,-2.1,29.74,35.84,1511822969
iconomi,Iconomi,ICN,58,1.54319,0.00015969,1346450.0,153992329.0,99788314.0,99788314.0,null,2.69,-5.64,28.63,1511822956
gamecredits,GameCredits,GAME,59,2.15441,0.00022294,2508000.0,138647814.0,64355352.0,64355352.0,null,-0.34,1.3,12.41,1511822947
gnosis-gno,Gnosis,GNO,60,124.981,0.0129333,3488150.0,138052763.0,1104590.0,10000000.0,null,-0.37,16.05,78.15,1511822964
status,Status,SNT,61,0.0393289,0.00000407,7543750.0,136490310.0,3470483788.0,6804870174.0,null,-0.37,7.98,20.58,1511822967
zcoin,ZCoin,XZC,62,38.3969,0.00397338,8635500.0,135642159.0,3532633.0,3532633.0,null,1.4,7.0,54.27,1511822959
tron,TRON,TRX,63,0.00205259,0.00000021,6439240.0,134954082.0,65748192475.0,100000000000,null,-0.02,-3.71,-4.16,1511822972
metaverse,Metaverse ETP,ETP,64,3.68216,0.00038104,5245480.0,134335898.0,36482906.0,55882906.0,100000000.0,1.08,-2.31,14.96,1511822965
aeternity,Aeternity,AE,65,0.553916,0.00005732,1434710.0,129073768.0,233020472.0,273685830.0,null,0.46,-2.04,-1.14,1511822963
bytom,Bytom,BTM,66,0.127783,0.00001322,2083780.0,126121821.0,987000000.0,1407000000.0,null,1.55,21.54,10.55,1511822968
ethos,Ethos,ETHOS,67,1.64056,0.00016977,1779070.0,122264734.0,74526219.0,222295208.0,null,-1.56,-4.29,-13.12,1511822970
blocknet,Blocknet,BLOCK,68,24.7454,0.0025607,311268.0,121332938.0,4903252.0,4903252.0,null,0.09,6.49,11.22,1511822946
civic,Civic,CVC,69,0.352903,0.00003652,2715930.0,120939858.0,342700000.0,1000000000.0,null,0.07,1.91,9.0,1511822966
gxshares,GXShares,GXS,70,2.96488,0.00030681,9600040.0,120107289.0,40510000.0,100000000.0,100000000.0,0.11,-2.21,28.28,1511822964
pura,Pura,PURA,71,0.675152,0.00006987,260762.0,116048214.0,171884574.0,178667068.0,350000000.0,0.73,-3.94,-6.1,1511822948
0x,0x,ZRX,72,0.227932,0.00002359,3324360.0,113966000.0,500000000.0,1000000000.0,null,0.01,-1.07,13.53,1511822968
metal,Metal,MTL,73,5.80287,0.00060049,9564790.0,112001159.0,19300994.0,66588888.0,null,0.83,12.52,27.53,1511822966
digibyte,DigiByte,DGB,74,0.0116916,0.00000121,5232810.0,110706618.0,9468902277.0,9468902277.0,null,1.1,8.85,32.71,1511822942
bancor,Bancor,BNT,75,2.67001,0.0002763,4556130.0,108863972.0,40772871.0,79384422.0,null,-0.49,0.65,23.99,1511822964
einsteinium,Einsteinium,EMC2,76,0.459153,0.00004751,36942700.0,99198746.0,216047256.0,216047256.0,null,-0.68,-12.57,218.02,1511822943
funfair,FunFair,FUN,77,0.0232087,0.00000240,1176690.0,98634042.0,4249873622.0,10999873621.0,null,-0.87,0.32,27.28,1511822965
cryptonex,Cryptonex,CNX,78,2.19187,0.00022682,126950.0,98599650.0,44984260.0,106421886.0,210000000.0,0.03,7.29,64.56,1511822975
verge,Verge,XVG,79,0.00665482,0.00000069,6038080.0,95286573.0,14318429731.0,14318429731.0,16555000000.0,0.61,2.97,14.6,1511822946
singulardtv,SingularDTV,SNGLS,80,0.157538,0.00001630,1959910.0,94522800.0,600000000.0,1000000000.0,null,0.93,-2.29,19.2,1511822956
quantstamp,Quantstamp,QSP,81,0.150945,0.00001562,20931800.0,93180488.0,617314171.0,976442388.0,null,-2.0,-11.14,null,1511822978
lykke,Lykke,LKK,82,0.338686,0.00003505,321953.0,89094715.0,263059928.0,1285690000.0,null,0.25,-3.07,-4.54,1511822956
storj,Storj,STORJ,83,0.764967,0.00007916,9570880.0,80637953.0,105413636.0,424999998.0,null,-0.1,2.2,14.05,1511822967
bitbay,BitBay,BAY,84,0.0788549,0.00000816,9244610.0,79475382.0,1007868661.0,1007868661.0,null,-0.65,-3.88,64.69,1511822947
zencash,ZenCash,ZEN,85,31.7632,0.00328691,2003370.0,77999236.0,2455648.0,2455648.0,21000000.0,-0.23,0.1,49.35,1511822964
