id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9987.14,1.0,5369580000.0,166846778757,16706162.0,16706162.0,21000000.0,0.49,3.6,23.5,1511862553
ethereum,Ethereum,ETH,2,478.003,0.0482556,1246760000.0,45889723054.0,96003002.0,96003002.0,null,-0.1,-0.12,31.73,1511862562
bitcoin-cash,Bitcoin Cash,BCH,3,1604.3,0.161958,1165160000.0,26994954488.0,16826625.0,16826625.0,21000000.0,-0.09,-3.26,36.27,1511862565
ripple,Ripple,XRP,4,0.269454,0.00002726,411445000.0,10407086924.0,38622870411.0,99993173757.0,100000000000,0.7,7.54,14.45,1511862841
bitcoin-gold,Bitcoin Gold,BTG,5,351.406,0.0354754,90824700.0,5860089886.0,16676124.0,16776124.0,21000000.0,-0.42,-3.57,25.51,1511862570
litecoin,Litecoin,LTC,6,92.9075,0.00939776,359191000.0,5019837114.0,54030483.0,54030483.0,84000000.0,0.55,2.95,31.55,1511862842
dash,Dash,DASH,7,622.804,0.0629977,124297000.0,4805093147.0,7715257.0,7715257.0,18900000.0,-0.39,-0.3,30.12,1511862846
ethereum-classic,Ethereum Classic,ETC,8,30.8206,0.00311142,1324830000.0,3016502550.0,97872934.0,97872934.0,null,3.89,38.85,71.86,1511862553
iota,IOTA,MIOTA,9,1.06813,0.00010783,249133000.0,2968899681.0,2779530283.0,2779530283.0,2779530283.0,-0.49,27.95,21.66,1511862562
monero,Monero,XMR,10,190.456,0.0192649,121522000.0,2934840114.0,15409544.0,15409544.0,null,1.34,16.75,39.64,1511862844
neo,NEO,NEO,11,39.2673,0.00396413,70012000.0,2552374500.0,65000000.0,100000000.0,null,0.02,-0.45,9.88,1511862555
nem,NEM,XEM,12,0.235441,0.00002377,23875100.0,2118969000.0,8999999999.0,8999999999.0,null,-0.68,8.68,13.69,1511862547
eos,EOS,EOS,13,2.93546,0.00029634,114971000.0,1481450227.0,504673961.0,1000000000.0,null,-0.44,9.13,52.97,1511862563
cardano,Cardano,ADA,14,0.053682,0.00000542,46730700.0,1391817001.0,25927070538.0,31112483745.0,45000000000.0,2.77,10.02,87.47,1511862569
qtum,Qtum,QTUM,15,15.2723,0.00154178,234398000.0,1125471012.0,73693616.0,100193616.0,null,0.1,5.36,7.21,1511862561
stellar,Stellar Lumens,XLM,16,0.0592798,0.00000600,58575900.0,1050649136.0,17723560748.0,103471840067,null,0.28,18.18,56.13,1511862849
omisego,OmiseGO,OMG,17,9.52254,0.00096132,60059500.0,971704281.0,102042552.0,140245398.0,null,0.44,6.78,22.19,1511862564
zcash,Zcash,ZEC,18,348.304,0.0351622,85395400.0,946383329.0,2717119.0,2717119.0,null,0.15,2.73,18.62,1511862555
lisk,Lisk,LSK,19,8.17726,0.00082552,28820900.0,943379314.0,115366188.0,115366188.0,null,0.58,5.38,-17.1,1511862550
hshare,Hshare,HSR,20,19.895,0.00200845,65156400.0,841656352.0,42304918.0,42304918.0,84000000.0,1.15,-0.05,9.12,1511862566
tether,Tether,USDT,21,1.00168,0.00010132,719031000.0,676101785.0,674967839.0,675000482.0,null,0.13,-0.54,0.32,1511862849
bitconnect,BitConnect,BCC,22,296.518,0.0299343,24792500.0,633982764.0,2138092.0,8392580.0,28000000.0,0.51,-0.38,1.05,1511862557
waves,Waves,WAVES,23,5.86025,0.00059161,24318000.0,586025000.0,100000000.0,100000000.0,null,0.03,5.45,14.86,1511862562
