id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9737.29,1.0,5462020000.0,162666414942,16705512.0,16705512.0,21000000.0,-0.67,1.43,20.05,1511833751
ethereum,Ethereum,ETH,2,476.429,0.0492055,1369870000.0,45735203201.0,95995842.0,95995842.0,null,-0.65,0.79,30.69,1511833751
bitcoin-cash,Bitcoin Cash,BCH,3,1615.37,0.166835,1337070000.0,27179872354.0,16825788.0,16825788.0,21000000.0,0.08,-5.31,35.76,1511833769
ripple,Ripple,XRP,4,0.262124,0.00002713,241901000.0,10123981284.0,38622870411.0,99993173757.0,100000000000,3.13,4.76,10.12,1511834041
bitcoin-gold,Bitcoin Gold,BTG,5,355.367,0.0367023,111927000.0,5925908581.0,16675461.0,16775461.0,21000000.0,-1.07,-3.29,53.06,1511833775
litecoin,Litecoin,LTC,6,90.3398,0.00933029,423328000.0,4880649084.0,54025458.0,54025458.0,84000000.0,-0.91,4.03,26.66,1511833742
dash,Dash,DASH,7,621.676,0.0642066,132738000.0,4795984920.0,7714605.0,7714605.0,18900000.0,-1.2,-0.94,33.48,1511833747
iota,IOTA,MIOTA,8,1.10435,0.00011406,198039000.0,3069574268.0,2779530283.0,2779530283.0,2779530283.0,2.33,33.44,18.35,1511833765
ethereum-classic,Ethereum Classic,ETC,9,27.8951,0.002881,840157000.0,2729860597.0,97861653.0,97861653.0,null,7.02,26.4,53.39,1511833760
monero,Monero,XMR,10,173.415,0.0179103,96299000.0,2671995906.0,15408101.0,15408101.0,null,-2.16,5.98,26.11,1511833744
neo,NEO,NEO,11,39.2694,0.00405574,84240900.0,2552511000.0,65000000.0,100000000.0,null,-0.75,-0.05,8.49,1511833755
nem,NEM,XEM,12,0.233041,0.00002407,21806600.0,2097369000.0,8999999999.0,8999999999.0,null,-4.23,7.65,11.42,1511833757
eos,EOS,EOS,13,2.75442,0.00028448,127345000.0,1387758881.0,503829801.0,1000000000.0,null,-0.72,12.17,39.19,1511833768
cardano,Cardano,ADA,14,0.0493769,0.00000510,78223800.0,1280198369.0,25927070538.0,31112483745.0,45000000000.0,-0.21,31.01,69.16,1511833773
qtum,Qtum,QTUM,15,14.62,0.00150995,142500000.0,1077388502.0,73692784.0,100192784.0,null,-0.42,-1.32,-0.1,1511833763
stellar,Stellar Lumens,XLM,16,0.0574192,0.00000593,52161000.0,1017123242.0,17713991866.0,103471840067,null,-1.93,17.59,51.39,1511833758
omisego,OmiseGO,OMG,17,9.34431,0.00096508,56295800.0,953517237.0,102042552.0,140245398.0,null,-0.91,7.94,17.89,1511833767
zcash,Zcash,ZEC,18,346.978,0.0358359,94835800.0,941960694.0,2714756.0,2714756.0,null,-0.97,1.35,16.29,1511833758
lisk,Lisk,LSK,19,8.01833,0.00082813,29470000.0,924951827.0,115354672.0,115354672.0,null,0.92,4.12,-17.9,1511833752
hshare,Hshare,HSR,20,19.8094,0.00204591,64029900.0,838008427.0,42303574.0,42303574.0,84000000.0,-0.27,-5.57,8.73,1511833771
tether,Tether,USDT,21,1.00269,0.00010356,747851000.0,676783503.0,674967839.0,675000482.0,null,0.16,-0.28,0.28,1511833749
bitconnect,BitConnect,BCC,22,298.1,0.0307878,27204100.0,637365225.0,2138092.0,8392580.0,28000000.0,-0.63,0.77,1.86,1511833760
waves,Waves,WAVES,23,5.64623,0.00058314,24364700.0,564623000.0,100000000.0,100000000.0,null,0.25,0.39,8.88,1511833754
stratis,Stratis,STRAT,24,5.09145,0.00052585,22906900.0,502215731.0,98639038.0,98639038.0,null,-2.95,10.71,48.14,1511833757
populous,Populous,PPT,25,11.342,0.0011714,825211.0,467882974.0,41252246.0,53252246.0,53252246.0,2.01,-2.26,16.56,1511833767
bitshares,BitShares,BTS,26,0.153249,0.00001583,29726900.0,398891822.0,2602900000.0,2602900000.0,3600570502.0,0.94,10.41,18.17,1511833745
monacoin,MonaCoin,MONA,27,6.66694,0.00068856,57451400.0,370872371.0,55628575.0,55628575.0,null,-3.25,45.09,127.57,1511833744
ark,Ark,ARK,28,3.67188,0.00037923,12171800.0,359775517.0,97981284.0,129231284.0,null,-2.55,6.52,18.65,1511833761
decred,Decred,DCR,29,57.3185,0.00591985,11042200.0,358093466.0,6247433.0,6667433.0,null,-0.89,-11.28,70.31,1511833752
ardor,Ardor,ARDR,30,0.330593,0.00003414,4384010.0,330262240.0,998999495.0,998999495.0,998999495.0,-1.14,-1.29,25.04,1511833757
komodo,Komodo,KMD,31,3.08092,0.0003182,10167900.0,319275764.0,103630008.0,103630008.0,null,-1.38,4.35,29.32,1511833761
augur,Augur,REP,32,28.9288,0.00298777,3631030.0,318216800.0,11000000.0,11000000.0,null,0.13,4.96,39.0,1511833751
bytecoin-bcn,Bytecoin,BCN,33,0.00172359,0.00000018,4608650.0,315853960.0,183253534612,183253534612,184470000000,-0.78,-0.14,36.02,1511833745
steem,Steem,STEEM,34,1.19756,0.00012368,4593290.0,295440819.0,246702310.0,263676404.0,null,-0.65,9.07,32.45,1511833753
golem-network-tokens,Golem,GNT,35,0.351624,0.00003632,13096100.0,292914044.0,833032000.0,1000000000.0,null,3.24,24.82,63.01,1511833757
power-ledger,Power Ledger,POWR,36,0.690444,0.00007131,45805600.0,241900439.0,350354900.0,1000000000.0,null,-3.07,-9.38,23.43,1511833776
tenx,TenX,PAY,37,2.29464,0.00023699,6832270.0,240160028.0,104661310.0,205218256.0,null,-1.8,-0.07,16.98,1511833769
raiden-network-token,Raiden Network Token,RDN,38,4.67733,0.00048307,18584700.0,233866500.0,50000000.0,100000000.0,null,1.27,-12.82,75.43,1511833778
dogecoin,Dogecoin,DOGE,39,0.00199389,0.00000021,5698820.0,223520559.0,112102753173,112102753173,null,0.23,0.4,44.12,1511833743
exchange-union,Exchange Union,XUC,40,8.93719,0.00092303,2843900.0,221629245.0,24798538.0,3000000000.0,null,-3.0,9.2,199.16,1511833776
maidsafecoin,MaidSafeCoin,MAID,41,0.48843,0.00005045,2187260.0,221040175.0,452552412.0,452552412.0,null,-0.65,5.5,26.51,1511833744
vertcoin,Vertcoin,VTC,42,5.3131,0.00054995,9946550.0,220983252.0,41592150.0,41592150.0,84000000.0,-0.28,-3.57,30.57,1511834042
