id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9940.23,1.0,5702110000.0,166062227897,16706075.0,16706075.0,21000000.0,-0.25,2.7,23.32,1511858954
ethereum,Ethereum,ETH,2,479.02,0.0486051,1339750000.0,45986933366.0,96002115.0,96002115.0,null,-0.35,-1.03,32.16,1511858951
bitcoin-cash,Bitcoin Cash,BCH,3,1607.46,0.163105,1355580000.0,27048026156.0,16826563.0,16826563.0,21000000.0,-0.47,-4.04,36.39,1511858965
ripple,Ripple,XRP,4,0.267933,0.00002716,423893000.0,10348341538.0,38622870411.0,99993173757.0,100000000000,-0.91,6.42,13.77,1511859241
bitcoin-gold,Bitcoin Gold,BTG,5,352.682,0.0357858,94447800.0,5881346577.0,16676061.0,16776061.0,21000000.0,0.2,-4.06,23.93,1511858971
litecoin,Litecoin,LTC,6,92.6893,0.00939411,384068000.0,5007982780.0,54029783.0,54029783.0,84000000.0,-0.64,1.69,31.48,1511859241
dash,Dash,DASH,7,625.842,0.0634294,133469000.0,4828468962.0,7715156.0,7715156.0,18900000.0,-0.55,-0.58,31.6,1511859246
iota,IOTA,MIOTA,8,1.07821,0.0001094,248475000.0,2996917346.0,2779530283.0,2779530283.0,2779530283.0,-2.12,30.78,22.4,1511858963
ethereum-classic,Ethereum Classic,ETC,9,29.7319,0.00301683,1269960000.0,2909906394.0,97871525.0,97871525.0,null,-0.45,32.79,65.98,1511858954
monero,Monero,XMR,10,188.336,0.019088,121069000.0,2902140245.0,15409376.0,15409376.0,null,0.27,14.36,38.35,1511859244
neo,NEO,NEO,11,39.291,0.00398677,73871300.0,2553915000.0,65000000.0,100000000.0,null,0.26,-2.2,10.14,1511858954
nem,NEM,XEM,12,0.237203,0.00002404,24058400.0,2134827000.0,8999999999.0,8999999999.0,null,0.88,8.94,14.63,1511859248
eos,EOS,EOS,13,2.9624,0.00030059,122920000.0,1495010997.0,504662097.0,1000000000.0,null,-2.64,8.76,53.95,1511858964
cardano,Cardano,ADA,14,0.0520309,0.00000528,50541000.0,1349008814.0,25927070538.0,31112483745.0,45000000000.0,-0.95,4.74,82.23,1511858969
qtum,Qtum,QTUM,15,15.246,0.00154698,240910000.0,1123531101.0,73693500.0,100193500.0,null,-1.04,4.35,7.05,1511858962
stellar,Stellar Lumens,XLM,16,0.0591755,0.00000600,59024800.0,1048800569.0,17723560748.0,103471840067,null,2.36,17.7,56.4,1511859246
omisego,OmiseGO,OMG,17,9.4751,0.00096142,64505500.0,966863382.0,102042552.0,140245398.0,null,-2.08,5.28,21.43,1511858967
zcash,Zcash,ZEC,18,347.897,0.0353003,93810200.0,945194836.0,2716881.0,2716881.0,null,-0.49,1.67,18.49,1511858956
lisk,Lisk,LSK,19,8.13872,0.00082582,29153000.0,938921349.0,115364744.0,115364744.0,null,-1.04,4.11,-17.36,1511858952
hshare,Hshare,HSR,20,19.6743,0.00199631,67134900.0,832316414.0,42304754.0,42304754.0,84000000.0,-1.37,-2.84,7.75,1511858967
tether,Tether,USDT,21,1.00082,0.00010143,785508000.0,675521313.0,674967839.0,675000482.0,null,0.09,-0.51,0.21,1511859249
bitconnect,BitConnect,BCC,22,295.001,0.0299331,25237100.0,630739278.0,2138092.0,8392580.0,28000000.0,-0.28,-1.38,0.85,1511858965
waves,Waves,WAVES,23,5.84692,0.00059327,24555600.0,584692000.0,100000000.0,100000000.0,null,-0.3,4.61,14.64,1511858954
stratis,Stratis,STRAT,24,5.22245,0.00052991,24491800.0,515139419.0,98639416.0,98639416.0,null,-0.75,14.07,53.5,1511858954
populous,Populous,PPT,25,11.1283,0.00112916,969728.0,459067369.0,41252246.0,53252246.0,53252246.0,-2.07,-0.59,13.07,1511858965
monacoin,MonaCoin,MONA,26,7.27865,0.0007377,67985400.0,404949694.0,55635275.0,55635275.0,null,0.24,42.99,148.54,1511859243
