id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9744.61,1.0,5393520000.0,162789313201,16705575.0,16705575.0,21000000.0,-0.19,0.99,20.29,1511837352
ethereum,Ethereum,ETH,2,479.876,0.0495606,1396990000.0,46066618101.0,95996920.0,95996920.0,null,0.5,1.31,31.76,1511837351
bitcoin-cash,Bitcoin Cash,BCH,3,1600.05,0.16525,1312310000.0,26922281295.0,16825900.0,16825900.0,21000000.0,-0.62,-6.57,34.54,1511837367
ripple,Ripple,XRP,4,0.271221,0.00002798,291094000.0,10475333536.0,38622870411.0,99993173757.0,100000000000,3.54,8.25,14.13,1511837641
bitcoin-gold,Bitcoin Gold,BTG,5,352.241,0.0363787,109800000.0,5873816314.0,16675561.0,16775561.0,21000000.0,-0.73,-4.64,43.72,1511837373
litecoin,Litecoin,LTC,6,91.3843,0.00942751,424373000.0,4937122083.0,54025933.0,54025933.0,84000000.0,0.93,3.76,28.33,1511837642
dash,Dash,DASH,7,625.166,0.0645658,133486000.0,4822947184.0,7714666.0,7714666.0,18900000.0,0.13,-0.39,33.64,1511837346
iota,IOTA,MIOTA,8,1.14905,0.00011867,224688000.0,3193819272.0,2779530283.0,2779530283.0,2779530283.0,3.05,39.46,23.91,1511837364
ethereum-classic,Ethereum Classic,ETC,9,30.0815,0.00310676,1099230000.0,2943872392.0,97863218.0,97863218.0,null,8.08,36.32,65.88,1511837354
monero,Monero,XMR,10,179.455,0.0185338,102100000.0,2765096195.0,15408298.0,15408298.0,null,2.98,9.74,30.74,1511837344
neo,NEO,NEO,11,39.3888,0.004068,82270500.0,2560272000.0,65000000.0,100000000.0,null,0.23,-0.6,9.56,1511837358
nem,NEM,XEM,12,0.234126,0.00002418,22408100.0,2107134000.0,8999999999.0,8999999999.0,null,-0.66,8.05,12.08,1511837350
eos,EOS,EOS,13,2.86905,0.00029631,130701000.0,1446679703.0,504236490.0,1000000000.0,null,3.53,16.91,45.54,1511837365
cardano,Cardano,ADA,14,0.0491843,0.00000508,78290600.0,1275204815.0,25927070538.0,31112483745.0,45000000000.0,-0.38,30.7,69.62,1511837372
qtum,Qtum,QTUM,15,14.7873,0.0015272,149669000.0,1089719198.0,73692912.0,100192912.0,null,1.11,-0.02,1.49,1511837364
stellar,Stellar Lumens,XLM,16,0.0578464,0.00000597,53426400.0,1025244156.0,17723560248.0,103471840067,null,0.65,18.14,52.76,1511837346
omisego,OmiseGO,OMG,17,9.48464,0.00097955,57537300.0,967836868.0,102042552.0,140245398.0,null,1.41,9.01,19.96,1511837366
zcash,Zcash,ZEC,18,347.768,0.0359168,93830700.0,944218376.0,2715081.0,2715081.0,null,0.21,1.76,16.87,1511837357
lisk,Lisk,LSK,19,8.07717,0.00083419,28737800.0,931750927.0,115356112.0,115356112.0,null,0.53,3.19,-17.39,1511837353
hshare,Hshare,HSR,20,20.4484,0.00211187,67183800.0,865043879.0,42303744.0,42303744.0,84000000.0,2.93,-2.44,12.05,1511837369
tether,Tether,USDT,21,0.998388,0.00010311,754824000.0,673879791.0,674967839.0,675000482.0,null,-0.35,-0.86,-0.15,1511837348
bitconnect,BitConnect,BCC,22,297.943,0.030771,25856300.0,637029545.0,2138092.0,8392580.0,28000000.0,-0.29,0.66,1.74,1511837358
waves,Waves,WAVES,23,5.72025,0.00059077,24333900.0,572025000.0,100000000.0,100000000.0,null,1.28,2.09,10.54,1511837356
stratis,Stratis,STRAT,24,5.23297,0.00054045,23117000.0,516175400.0,98639090.0,98639090.0,null,2.43,13.63,52.51,1511837355
populous,Populous,PPT,25,11.3592,0.00117316,848425.0,468592513.0,41252246.0,53252246.0,53252246.0,-0.2,-1.35,16.21,1511837365
bitshares,BitShares,BTS,26,0.153258,0.00001583,29351300.0,398916781.0,2602910000.0,2602910000.0,3600570502.0,0.06,10.7,16.93,1511837345
monacoin,MonaCoin,MONA,27,6.57837,0.0006794,59585100.0,365951927.0,55629575.0,55629575.0,null,-1.27,40.64,124.86,1511837344
decred,Decred,DCR,28,58.163,0.00600695,9972320.0,363378389.0,6247587.0,6667587.0,null,1.27,-11.5,72.86,1511837352
ark,Ark,ARK,29,3.6766,0.00037971,11792600.0,360237989.0,97981284.0,129231284.0,null,0.67,6.68,19.04,1511837360
ardor,Ardor,ARDR,30,0.331052,0.00003419,4331500.0,330720781.0,998999495.0,998999495.0,998999495.0,-0.46,-2.25,24.92,1511837357
golem-network-tokens,Golem,GNT,31,0.387522,0.00004002,15632000.0,322818227.0,833032000.0,1000000000.0,null,11.9,35.78,79.97,1511837357
komodo,Komodo,KMD,32,3.07258,0.00031733,9830170.0,318412071.0,103630197.0,103630197.0,null,-0.37,2.96,29.15,1511837359
augur,Augur,REP,33,28.6699,0.00296096,3622850.0,315368900.0,11000000.0,11000000.0,null,-0.59,3.95,37.7,1511837350
bytecoin-bcn,Bytecoin,BCN,34,0.00171816,0.00000018,4667000.0,314858893.0,183253534612,183253534612,184470000000,-0.55,-0.86,35.64,1511837346
