id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9956.11,1.0,5694620000.0,166326773660,16706000.0,16706000.0,21000000.0,-0.15,2.23,23.54,1511855353
ethereum,Ethereum,ETH,2,480.626,0.0487131,1330470000.0,46140693808.0,96001244.0,96001244.0,null,-0.1,-1.85,32.55,1511855351
bitcoin-cash,Bitcoin Cash,BCH,3,1610.83,0.163264,1351260000.0,27104550454.0,16826450.0,16826450.0,21000000.0,-0.8,-4.83,36.41,1511855366
ripple,Ripple,XRP,4,0.270671,0.00002743,419478000.0,10454090957.0,38622870411.0,99993173757.0,100000000000,1.02,7.02,14.76,1511855641
bitcoin-gold,Bitcoin Gold,BTG,5,352.143,0.0356909,96341400.0,5872340573.0,16676011.0,16776011.0,21000000.0,-0.4,-5.63,24.43,1511855374
litecoin,Litecoin,LTC,6,93.3052,0.0094573,383019000.0,5041208405.0,54029233.0,54029233.0,84000000.0,0.17,1.08,32.18,1511855641
dash,Dash,DASH,7,628.936,0.0637481,135741000.0,4852292069.0,7715081.0,7715081.0,18900000.0,0.06,-1.04,32.92,1511855646
iota,IOTA,MIOTA,8,1.09923,0.00011141,238020000.0,3055343073.0,2779530283.0,2779530283.0,2779530283.0,-3.33,32.59,23.68,1511855365
ethereum-classic,Ethereum Classic,ETC,9,29.8743,0.00302786,1252730000.0,2923803447.0,97870191.0,97870191.0,null,-0.05,32.19,66.59,1511855363
monero,Monero,XMR,10,188.08,0.0190635,117261000.0,2898161670.0,15409196.0,15409196.0,null,2.27,13.33,38.12,1511855643
neo,NEO,NEO,11,39.1579,0.00396879,75539800.0,2545263500.0,65000000.0,100000000.0,null,-0.73,-3.99,9.58,1511855354
nem,NEM,XEM,12,0.234599,0.00002378,23541200.0,2111391000.0,8999999999.0,8999999999.0,null,0.89,6.91,13.25,1511855647
eos,EOS,EOS,13,3.03869,0.00030798,127188000.0,1533473213.0,504649442.0,1000000000.0,null,-0.13,10.66,56.98,1511855366
cardano,Cardano,ADA,14,0.052583,0.00000533,56680300.0,1363323150.0,25927070538.0,31112483745.0,45000000000.0,-0.78,2.81,84.38,1511855371
qtum,Qtum,QTUM,15,15.3857,0.0015594,238943000.0,1133824360.0,73693388.0,100193388.0,null,0.03,4.19,7.76,1511855363
stellar,Stellar Lumens,XLM,16,0.0579235,0.00000587,58661800.0,1026610671.0,17723560748.0,103471840067,null,1.43,14.36,53.32,1511855645
omisego,OmiseGO,OMG,17,9.68075,0.00098118,64735500.0,987848433.0,102042552.0,140245398.0,null,-0.13,6.87,23.8,1511855366
zcash,Zcash,ZEC,18,349.512,0.0354243,94676400.0,949512697.0,2716681.0,2716681.0,null,-0.15,1.14,18.86,1511855354
