id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9728.55,1.0,6495470000.0,162511896286,16704637.0,16704637.0,21000000.0,0.41,6.5,19.1,1511797153
ethereum,Ethereum,ETH,2,482.063,0.0498264,1502710000.0,46272130164.0,95987724.0,95987724.0,null,-0.55,4.85,33.2,1511797152
bitcoin-cash,Bitcoin Cash,BCH,3,1652.21,0.170773,1984360000.0,27798763692.0,16825200.0,16825200.0,21000000.0,-0.26,3.29,38.95,1511797172
ripple,Ripple,XRP,4,0.252091,0.00002606,195382000.0,9736478025.0,38622870411.0,99993173757.0,100000000000,0.09,0.3,5.18,1511797141
bitcoin-gold,Bitcoin Gold,BTG,5,360.571,0.0372689,146684000.0,6012421759.0,16674724.0,16774724.0,21000000.0,-0.7,4.12,181.0,1511797180
litecoin,Litecoin,LTC,6,91.5583,0.00946354,445452000.0,4945867954.0,54018783.0,54018783.0,84000000.0,0.95,6.14,27.54,1511797141
dash,Dash,DASH,7,632.409,0.0653663,154182000.0,4878250321.0,7713759.0,7713759.0,18900000.0,0.27,0.94,42.08,1511797146
iota,IOTA,MIOTA,8,0.972433,0.00010051,110013000.0,2702906972.0,2779530283.0,2779530283.0,2779530283.0,2.6,24.06,2.43,1511797168
ethereum-classic,Ethereum Classic,ETC,9,26.3227,0.00272074,565922000.0,2575620970.0,97847902.0,97847902.0,null,8.12,18.45,41.97,1511797156
neo,NEO,NEO,10,39.4866,0.00408136,89094200.0,2566629000.0,65000000.0,100000000.0,null,-0.76,3.38,-1.69,1511797157
monero,Monero,XMR,11,165.427,0.0170987,77553300.0,2548629427.0,15406369.0,15406369.0,null,0.84,2.45,21.63,1511797145
nem,NEM,XEM,12,0.220493,0.00002279,12705000.0,1984437000.0,8999999999.0,8999999999.0,null,0.4,0.99,4.32,1511797158
