id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9734.04,1.0,6498740000.0,162603244584,16704600.0,16704600.0,21000000.0,0.46,6.81,19.21,1511796254
ethereum,Ethereum,ETH,2,482.233,0.0498779,1498890000.0,46288311454.0,95987441.0,95987441.0,null,-0.25,4.75,33.34,1511796253
bitcoin-cash,Bitcoin Cash,BCH,3,1654.51,0.171128,1985480000.0,27837440971.0,16825188.0,16825188.0,21000000.0,-0.16,3.39,39.12,1511796267
ripple,Ripple,XRP,4,0.252383,0.00002610,194719000.0,9747755903.0,38622870411.0,99993173757.0,100000000000,0.16,0.39,5.36,1511796241
bitcoin-gold,Bitcoin Gold,BTG,5,361.16,0.0373552,146838000.0,6022234142.0,16674699.0,16774699.0,21000000.0,-0.51,4.23,183.16,1511796274
litecoin,Litecoin,LTC,6,91.4376,0.0094575,443696000.0,4939320455.0,54018483.0,54018483.0,84000000.0,0.78,5.89,27.41,1511796242
dash,Dash,DASH,7,632.003,0.0653688,154308000.0,4875086656.0,7713708.0,7713708.0,18900000.0,0.16,0.72,42.0,1511796246
iota,IOTA,MIOTA,8,0.955481,0.00009883,106316000.0,2655788374.0,2779530283.0,2779530283.0,2779530283.0,1.92,22.21,0.8,1511796264
neo,NEO,NEO,9,39.9251,0.0041295,89677900.0,2595131500.0,65000000.0,100000000.0,null,0.28,4.66,-0.73,1511796255
monero,Monero,XMR,10,165.183,0.017085,77669100.0,2544858778.0,15406300.0,15406300.0,null,0.9,2.16,21.59,1511796244
ethereum-classic,Ethereum Classic,ETC,11,25.9805,0.00268719,515750000.0,2542125571.0,97847446.0,97847446.0,null,6.88,16.78,40.14,1511796263
nem,NEM,XEM,12,0.220387,0.00002279,12835000.0,1983483000.0,8999999999.0,8999999999.0,null,0.42,0.81,4.31,1511796247
eos,EOS,EOS,13,2.82628,0.00029233,147487000.0,1420667534.0,502663407.0,1000000000.0,null,2.3,16.92,45.8,1511796265
cardano,Cardano,ADA,14,0.0478548,0.00000495,76394800.0,1240734775.0,25927070538.0,31112483745.0,45000000000.0,0.7,35.46,57.76,1511796272
qtum,Qtum,QTUM,15,14.6767,0.00151803,132126000.0,1081551854.0,73691760.0,100191760.0,null,0.18,-0.66,-0.72,1511796264
omisego,OmiseGO,OMG,16,9.0996,0.00094118,49031800.0,928546404.0,102042552.0,140245398.0,null,0.77,6.91,14.33,1511796267
zcash,Zcash,ZEC,17,338.305,0.0349912,92042100.0,917371096.0,2711669.0,2711669.0,null,0.17,0.09,12.55,1511796263
stellar,Stellar Lumens,XLM,18,0.051707,0.00000535,23945100.0,915930248.0,17713853990.0,103452109577,null,0.96,10.22,35.34,1511796245
lisk,Lisk,LSK,19,7.65741,0.00079201,31778600.0,883204291.0,115339820.0,115339820.0,null,-1.12,-2.01,-23.83,1511796252
hshare,Hshare,HSR,20,19.772,0.00204504,64559700.0,836391696.0,42301826.0,42301826.0,84000000.0,1.84,-2.43,7.97,1511796270
tether,Tether,USDT,21,1.00348,0.00010379,878615000.0,677316727.0,674967839.0,675000482.0,null,-0.11,-0.12,0.39,1511796249
bitconnect,BitConnect,BCC,22,299.36,0.0309631,28337400.0,640059221.0,2138092.0,8392580.0,28000000.0,0.32,0.73,3.02,1511796261
waves,Waves,WAVES,23,5.77547,0.00059736,27388000.0,577547000.0,100000000.0,100000000.0,null,0.92,2.62,9.07,1511796253
stratis,Stratis,STRAT,24,4.92192,0.00050908,18591100.0,485490728.0,98638484.0,98638484.0,null,0.47,6.71,40.84,1511796255
populous,Populous,PPT,25,11.4321,0.00118244,1014240.0,471599801.0,41252246.0,53252246.0,53252246.0,0.33,3.69,24.11,1511796267
bitshares,BitShares,BTS,26,0.146736,0.00001518,26565600.0,381931798.0,2602850000.0,2602850000.0,3600570502.0,0.84,6.87,26.2,1511796245
decred,Decred,DCR,27,59.2941,0.00613286,17809500.0,370250983.0,6244314.0,6664314.0,null,2.28,9.53,72.45,1511796252
ark,Ark,ARK,28,3.63344,0.00037581,9563500.0,356009117.0,97981284.0,129231284.0,null,2.9,5.66,15.46,1511796260
ardor,Ardor,ARDR,29,0.336738,0.00003483,5091630.0,336401092.0,998999495.0,998999495.0,998999495.0,-0.24,12.3,33.73,1511796255
komodo,Komodo,KMD,30,3.18177,0.0003291,11007200.0,329719174.0,103627595.0,103627595.0,null,-0.26,11.24,31.01,1511796260
monacoin,MonaCoin,MONA,31,5.67816,0.0005873,22573800.0,315812445.0,55618800.0,55618800.0,null,1.59,25.32,88.64,1511796244
augur,Augur,REP,32,27.6414,0.00285899,2173310.0,304055400.0,11000000.0,11000000.0,null,-0.17,0.15,35.38,1511796262
bytecoin-bcn,Bytecoin,BCN,33,0.00164948,0.00000017,4121670.0,302273040.0,183253534612,183253534612,184470000000,0.29,0.38,28.89,1511796245
steem,Steem,STEEM,34,1.12498,0.00011636,2615940.0,277558577.0,246723122.0,263697216.0,null,1.42,7.27,23.25,1511796253
golem-network-tokens,Golem,GNT,35,0.311014,0.00003217,11281300.0,259084614.0,833032000.0,1000000000.0,null,-3.24,18.62,44.26,1511796257
raiden-network-token,Raiden Network Token,RDN,36,5.1375,0.00053138,21439800.0,256875000.0,50000000.0,100000000.0,null,0.63,13.4,98.31,1511796276
power-ledger,Power Ledger,POWR,37,0.67661,0.00006998,37810900.0,237053629.0,350354900.0,1000000000.0,null,-2.48,-12.86,4.0,1511796275
tenx,TenX,PAY,38,2.24213,0.00023191,7732680.0,234664263.0,104661310.0,205218256.0,null,-0.6,0.62,9.08,1511796266
maidsafecoin,MaidSafeCoin,MAID,39,0.48541,0.00005021,2821520.0,219673466.0,452552412.0,452552412.0,null,0.25,3.13,24.06,1511796244
exchange-union,Exchange Union,XUC,40,8.82984,0.00091328,2714560.0,218967122.0,24798538.0,3000000000.0,null,0.55,11.41,191.87,1511796274
vertcoin,Vertcoin,VTC,41,5.23913,0.00054189,15363900.0,217849836.0,41581300.0,41581300.0,84000000.0,-1.82,-2.21,25.97,1511796242
digixdao,DigixDAO,DGD,42,108.556,0.0112281,13296300.0,217112000.0,2000000.0,2000000.0,null,-4.08,23.51,51.57,1511796252
dogecoin,Dogecoin,DOGE,43,0.00193062,0.00000020,8222380.0,216427817.0,112102753173,112102753173,null,-2.12,-3.28,38.65,1511796242
nxt,Nxt,NXT,44,0.214388,0.00002217,53913300.0,214173599.0,998999942.0,998999942.0,1000000000.0,6.91,46.38,148.1,1511796242
salt,SALT,SALT,45,4.34328,0.00044923,8441460.0,213868959.0,49241347.0,120000000.0,null,2.18,7.41,19.15,1511796272
pivx,PIVX,PIVX,46,3.72538,0.00038532,2319590.0,204927655.0,55008524.0,55008524.0,null,-0.14,8.97,24.85,1511796251
veritaseum,Veritaseum,VERI,47,98.9218,0.0102316,496660.0,200420062.0,2026045.0,100000000.0,null,0.8,10.76,-5.28,1511796265
factom,Factom,FCT,48,22.6133,0.00233892,4070410.0,197755615.0,8745102.0,8745102.0,null,0.91,1.01,18.43,1511796250
gas,Gas,GAS,49,22.3945,0.00231629,1911860.0,192526309.0,8597035.0,11822072.0,100000000.0,1.6,1.89,-5.63,1511796265
siacoin,Siacoin,SC,50,0.00602731,0.00000062,3546220.0,187900681.0,31174882530.0,31174882530.0,null,1.35,12.35,39.88,1511796250
bitcoindark,BitcoinDark,BTCD,51,143.334,0.0148252,160643.0,184737772.0,1288862.0,1288862.0,null,0.84,8.55,26.68,1511796246
basic-attention-token,Basic Attention Token,BAT,52,0.184395,0.00001907,4304340.0,184395000.0,1000000000.0,1500000000.0,null,0.53,7.5,15.62,1511796264
byteball,Byteball Bytes,GBYTE,53,284.511,0.0294273,1524310.0,183572772.0,645222.0,1000000.0,null,-1.25,11.05,14.82,1511796257
binance-coin,Binance Coin,BNB,54,1.83157,0.00018944,21761600.0,181351072.0,99014000.0,199013968.0,null,1.48,-2.58,13.28,1511796267
syscoin,Syscoin,SYS,55,0.335779,0.00003473,22802000.0,177679602.0,529156385.0,529156385.0,888000000.0,2.68,4.39,61.91,1511796247
kyber-network,Kyber Network,KNC,56,1.25377,0.00012968,9569620.0,168171551.0,134132697.0,215625349.0,null,0.03,0.22,12.86,1511796270
iconomi,Iconomi,ICN,57,1.65372,0.00017105,1205940.0,165021931.0,99788314.0,99788314.0,null,-0.89,1.4,44.45,1511796261
gamecredits,GameCredits,GAME,58,2.17043,0.00022449,2603020.0,139678787.0,64355352.0,64355352.0,null,1.66,1.22,11.82,1511796247
status,Status,SNT,59,0.0398917,0.00000413,7889100.0,138443498.0,3470483788.0,6804870174.0,null,1.32,13.06,23.07,1511796264
zcoin,ZCoin,XZC,60,38.1858,0.0039496,8899020.0,134823837.0,3530732.0,3530732.0,null,-0.6,5.96,57.56,1511796256
tron,TRON,TRX,61,0.00205203,0.00000021,6792750.0,134814662.0,65698192475.0,100000000000,null,0.08,-0.4,-2.68,1511796271
aeternity,Aeternity,AE,62,0.574164,0.00005939,1522910.0,133791966.0,233020472.0,273685830.0,null,0.37,-0.9,0.37,1511796263
bytom,Bytom,BTM,63,0.134836,0.00001395,1857550.0,133083132.0,987000000.0,1407000000.0,null,10.01,28.92,15.4,1511796269
metaverse,Metaverse ETP,ETP,64,3.63996,0.00037649,6718360.0,132786948.0,36480332.0,55880332.0,100000000.0,-1.21,-0.53,14.05,1511796264
gnosis-gno,Gnosis,GNO,65,118.558,0.0122626,2218140.0,130957981.0,1104590.0,10000000.0,null,2.16,7.13,68.5,1511796264
