id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9663.78,1.0,5621620000.0,161434652872,16705125.0,16705125.0,21000000.0,0.64,3.56,17.48,1511815753
ethereum,Ethereum,ETH,2,477.373,0.0497953,1414730000.0,45823910413.0,95991835.0,95991835.0,null,0.49,3.23,30.2,1511815751
bitcoin-cash,Bitcoin Cash,BCH,3,1649.04,0.172014,1641790000.0,27745881294.0,16825475.0,16825475.0,21000000.0,0.35,-2.39,37.82,1511815770
ripple,Ripple,XRP,4,0.252188,0.00002631,191470000.0,9740224443.0,38622870411.0,99993173757.0,100000000000,-0.04,1.03,4.78,1511815742
bitcoin-gold,Bitcoin Gold,BTG,5,361.079,0.0376645,132703000.0,6021027923.0,16675099.0,16775099.0,21000000.0,-0.11,4.99,126.58,1511815778
dash,Dash,DASH,6,630.095,0.0657259,134700000.0,4860673108.0,7714191.0,7714191.0,18900000.0,0.21,0.82,38.28,1511815746
litecoin,Litecoin,LTC,7,89.88,0.00937549,432162000.0,4855473376.0,54021733.0,54021733.0,84000000.0,0.69,4.83,24.38,1511815741
iota,IOTA,MIOTA,8,0.982172,0.00010245,132617000.0,2729976817.0,2779530283.0,2779530283.0,2779530283.0,0.75,23.46,1.78,1511815766
ethereum-classic,Ethereum Classic,ETC,9,26.486,0.00276279,699503000.0,2591790443.0,97855110.0,97855110.0,null,2.37,20.12,42.88,1511815757
neo,NEO,NEO,10,39.7854,0.00415006,84051900.0,2586051000.0,65000000.0,100000000.0,null,0.45,3.43,4.28,1511815758
monero,Monero,XMR,11,167.189,0.0174396,73282800.0,2575919878.0,15407233.0,15407233.0,null,0.55,2.11,20.92,1511815743
nem,NEM,XEM,12,0.220087,0.00002296,11994700.0,1980783000.0,8999999999.0,8999999999.0,null,0.85,2.63,4.03,1511815750
eos,EOS,EOS,13,2.86957,0.00029933,121375000.0,1442472582.0,502679002.0,1000000000.0,null,2.37,13.46,43.96,1511815769
cardano,Cardano,ADA,14,0.0493676,0.00000515,70602200.0,1279957247.0,25927070538.0,31112483745.0,45000000000.0,2.55,28.78,63.62,1511815775
qtum,Qtum,QTUM,15,14.679,0.00153119,138654000.0,1081729096.0,73692288.0,100192288.0,null,0.42,-0.43,-2.1,1511815764
zcash,Zcash,ZEC,16,342.222,0.0356975,85797900.0,928561647.0,2713331.0,2713331.0,null,0.1,0.52,13.18,1511815757
stellar,Stellar Lumens,XLM,17,0.0521514,0.00000544,30200200.0,923802285.0,17713853990.0,103452109577,null,0.33,9.7,35.24,1511815747
omisego,OmiseGO,OMG,18,8.97791,0.0009365,47395800.0,916128846.0,102042552.0,140245398.0,null,0.25,5.85,11.87,1511815769
lisk,Lisk,LSK,19,7.86217,0.00082011,30203600.0,906881560.0,115347488.0,115347488.0,null,0.29,3.25,-20.89,1511815753
hshare,Hshare,HSR,20,19.4814,0.00203213,60764800.0,824116334.0,42302726.0,42302726.0,84000000.0,-0.23,-5.12,6.45,1511815773
tether,Tether,USDT,21,1.00007,0.00010432,814845000.0,675015087.0,674967839.0,675000482.0,null,-0.04,-1.33,-0.02,1511815747
bitconnect,BitConnect,BCC,22,296.455,0.0309235,27665500.0,633848064.0,2138092.0,8392580.0,28000000.0,0.64,-1.97,1.16,1511815759
waves,Waves,WAVES,23,5.59608,0.00058373,25196100.0,559608000.0,100000000.0,100000000.0,null,0.07,-1.51,6.2,1511815755
stratis,Stratis,STRAT,24,5.05964,0.00052778,19599500.0,499076668.0,98638770.0,98638770.0,null,-0.74,9.03,44.84,1511815755
populous,Populous,PPT,25,11.3392,0.00118281,893830.0,467767468.0,41252246.0,53252246.0,53252246.0,-1.6,2.18,18.72,1511815770
bitshares,BitShares,BTS,26,0.148359,0.00001548,27649900.0,386160674.0,2602880000.0,2602880000.0,3600570502.0,0.68,6.86,20.07,1511815745
monacoin,MonaCoin,MONA,27,6.4951,0.00067751,36051000.0,361282305.0,55623825.0,55623825.0,null,1.03,43.95,118.8,1511815746
decred,Decred,DCR,28,57.7391,0.00602283,13882600.0,360630611.0,6245865.0,6665865.0,null,0.87,-1.75,68.35,1511815752
