id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9943.62,1.0,5306280000.0,166120601625,16706250.0,16706250.0,21000000.0,-0.36,3.45,22.4,1511866153
ethereum,Ethereum,ETH,2,476.538,0.0481917,1211680000.0,45749490117.0,96003866.0,96003866.0,null,-0.14,0.16,30.91,1511866451
bitcoin-cash,Bitcoin Cash,BCH,3,1592.58,0.161378,1099960000.0,26797885793.0,16826713.0,16826713.0,21000000.0,-0.7,-3.19,34.98,1511866166
ripple,Ripple,XRP,4,0.269345,0.00002724,412496000.0,10402877031.0,38622870411.0,99993173757.0,100000000000,0.23,7.7,14.22,1511866441
bitcoin-gold,Bitcoin Gold,BTG,5,352.74,0.0357435,90312700.0,5882349063.0,16676161.0,16776161.0,21000000.0,0.55,-2.67,28.22,1511866172
litecoin,Litecoin,LTC,6,92.9076,0.00939563,347931000.0,5019916843.0,54031283.0,54031283.0,84000000.0,0.03,3.49,31.12,1511866441
dash,Dash,DASH,7,625.467,0.0632527,124342000.0,4825683947.0,7715329.0,7715329.0,18900000.0,0.32,0.77,29.71,1511866446
ethereum-classic,Ethereum Classic,ETC,8,33.3087,0.00336846,1671050000.0,3260048243.0,97873776.0,97873776.0,null,7.31,50.71,85.06,1511866454
iota,IOTA,MIOTA,9,1.07285,0.00010871,242066000.0,2982019064.0,2779530283.0,2779530283.0,2779530283.0,-0.26,23.84,21.21,1511866164
monero,Monero,XMR,10,187.711,0.018983,121415000.0,2892573507.0,15409718.0,15409718.0,null,-1.22,15.63,37.14,1511866444
neo,NEO,NEO,11,39.0888,0.003953,67213700.0,2540772000.0,65000000.0,100000000.0,null,-0.31,-0.11,9.06,1511866454
nem,NEM,XEM,12,0.231598,0.00002342,23882300.0,2084382000.0,8999999999.0,8999999999.0,null,-1.5,7.25,11.59,1511866447
eos,EOS,EOS,13,2.9102,0.00029489,112689000.0,1468714135.0,504678075.0,1000000000.0,null,-0.79,8.69,51.04,1511866165
cardano,Cardano,ADA,14,0.0524947,0.00000532,42521700.0,1361033790.0,25927070538.0,31112483745.0,45000000000.0,-1.76,8.22,82.66,1511866171
qtum,Qtum,QTUM,15,15.5753,0.00157826,245451000.0,1147801423.0,73693696.0,100193696.0,null,1.94,7.87,9.02,1511866162
stellar,Stellar Lumens,XLM,16,0.0614721,0.00000622,60982800.0,1089504499.0,17723560748.0,103471840067,null,3.69,22.92,61.16,1511866450
zcash,Zcash,ZEC,17,360.014,0.0364806,89330400.0,978335795.0,2717494.0,2717494.0,null,3.37,6.82,22.3,1511866156
omisego,OmiseGO,OMG,18,9.38993,0.00095149,58725300.0,958172418.0,102042552.0,140245398.0,null,-1.19,5.67,20.36,1511866166
lisk,Lisk,LSK,19,8.09747,0.00081889,28377300.0,934185907.0,115367628.0,115367628.0,null,-0.62,4.68,-18.26,1511866451
hshare,Hshare,HSR,20,19.8572,0.00201215,65482200.0,840060689.0,42305093.0,42305093.0,84000000.0,-0.02,1.12,8.75,1511866167
tether,Tether,USDT,21,1.00635,0.00010177,713766000.0,679253885.0,674967839.0,675000482.0,null,0.55,-0.17,0.79,1511866447
bitconnect,BitConnect,BCC,22,293.739,0.0297649,24732100.0,628041006.0,2138092.0,8392580.0,28000000.0,-0.9,-0.89,-0.46,1511866158
waves,Waves,WAVES,23,5.84173,0.00059077,24772600.0,584173000.0,100000000.0,100000000.0,null,-0.06,5.24,14.29,1511866454
stratis,Stratis,STRAT,24,5.26093,0.00053203,24919400.0,518935622.0,98639522.0,98639522.0,null,-0.95,15.81,52.42,1511866454
populous,Populous,PPT,25,10.6008,0.00107419,970250.0,437306809.0,41252246.0,53252246.0,53252246.0,-4.68,-2.21,7.07,1511866165
monacoin,MonaCoin,MONA,26,7.67059,0.00077572,72528800.0,426770916.0,55637300.0,55637300.0,null,4.16,49.14,160.5,1511866443
bitshares,BitShares,BTS,27,0.153008,0.00001547,36792600.0,398272174.0,2602950000.0,2602950000.0,3600570502.0,0.82,7.82,7.54,1511866445
ark,Ark,ARK,28,3.60184,0.00036498,11400900.0,352912908.0,97981284.0,129231284.0,null,-1.82,3.04,17.14,1511866161
decred,Decred,DCR,29,54.6129,0.00552294,7795900.0,341323715.0,6249873.0,6669873.0,null,0.09,-2.51,60.65,1511866451
ardor,Ardor,ARDR,30,0.329005,0.00003327,2831340.0,328675829.0,998999495.0,998999495.0,998999495.0,-0.19,-2.26,19.9,1511866453
bytecoin-bcn,Bytecoin,BCN,31,0.0017797,0.00000018,3970210.0,326136316.0,183253534612,183253534612,184470000000,0.37,8.23,38.2,1511866445
komodo,Komodo,KMD,32,3.11621,0.00031577,9385940.0,322938208.0,103631722.0,103631722.0,null,0.38,0.94,31.38,1511866158
augur,Augur,REP,33,28.7275,0.00290518,3828850.0,316002500.0,11000000.0,11000000.0,null,-0.26,4.6,37.1,1511866450
golem-network-tokens,Golem,GNT,34,0.353009,0.00003577,15901900.0,294067793.0,833032000.0,1000000000.0,null,-0.92,15.59,63.5,1511866156
steem,Steem,STEEM,35,1.19028,0.00012037,5219610.0,293644826.0,246702310.0,263676404.0,null,0.52,8.53,31.7,1511866452
tenx,TenX,PAY,36,2.49801,0.00025313,10102500.0,261444999.0,104661310.0,205218256.0,null,-0.3,12.47,31.2,1511866165
pivx,PIVX,PIVX,37,4.48695,0.00045376,21943400.0,246843759.0,55013709.0,55013709.0,null,-2.76,22.16,52.67,1511866451
