id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9723.48,1.0,6474040000.0,162427203777,16704637.0,16704637.0,21000000.0,0.33,6.18,19.0,1511797753
ethereum,Ethereum,ETH,2,481.357,0.0497926,1502600000.0,46204362831.0,95987724.0,95987724.0,null,-0.8,4.79,32.95,1511797752
bitcoin-cash,Bitcoin Cash,BCH,3,1650.12,0.170692,1980700000.0,27763599024.0,16825200.0,16825200.0,21000000.0,-0.38,3.18,38.79,1511797768
ripple,Ripple,XRP,4,0.252427,0.00002611,196226000.0,9749455309.0,38622870411.0,99993173757.0,100000000000,0.24,0.47,5.29,1511797741
bitcoin-gold,Bitcoin Gold,BTG,5,362.141,0.0374606,146711000.0,6038601075.0,16674724.0,16774724.0,21000000.0,-0.15,4.6,182.4,1511797775
litecoin,Litecoin,LTC,6,91.5364,0.00946872,445617000.0,4944684942.0,54018783.0,54018783.0,84000000.0,0.82,6.24,27.46,1511797742
dash,Dash,DASH,7,631.289,0.0653019,153484000.0,4869610912.0,7713759.0,7713759.0,18900000.0,0.05,0.85,41.82,1511797747
iota,IOTA,MIOTA,8,0.978495,0.00010122,114501000.0,2719756484.0,2779530283.0,2779530283.0,2779530283.0,2.83,24.76,3.0,1511797765
neo,NEO,NEO,9,39.9745,0.00413505,89941500.0,2598342500.0,65000000.0,100000000.0,null,0.39,4.6,-0.34,1511797756
monero,Monero,XMR,10,165.675,0.0171378,77285200.0,2552450206.0,15406369.0,15406369.0,null,0.83,2.6,21.75,1511797744
ethereum-classic,Ethereum Classic,ETC,11,25.8634,0.00267537,576648000.0,2530679429.0,97847902.0,97847902.0,null,5.92,16.46,39.47,1511797755
nem,NEM,XEM,12,0.220375,0.00002280,12602400.0,1983375000.0,8999999999.0,8999999999.0,null,0.3,0.96,4.24,1511797748
eos,EOS,EOS,13,2.80122,0.00028976,137042000.0,1408073047.0,502664213.0,1000000000.0,null,-1.04,14.28,44.16,1511797766
cardano,Cardano,ADA,14,0.0473665,0.00000490,76629900.0,1228074587.0,25927070538.0,31112483745.0,45000000000.0,-1.89,31.73,55.93,1511797772
qtum,Qtum,QTUM,15,14.9434,0.00154578,141255000.0,1101205865.0,73691788.0,100191788.0,null,1.92,0.98,0.86,1511797764
stellar,Stellar Lumens,XLM,16,0.0525915,0.00000544,24352600.0,931598152.0,17713853990.0,103452109577,null,2.12,11.57,37.48,1511797745
omisego,OmiseGO,OMG,17,9.11563,0.00094294,49447500.0,930182146.0,102042552.0,140245398.0,null,0.91,7.0,14.42,1511797768
zcash,Zcash,ZEC,18,339.79,0.0351487,91151900.0,921444646.0,2711806.0,2711806.0,null,0.55,0.63,13.01,1511797757
lisk,Lisk,LSK,19,7.65021,0.00079135,32095300.0,882377516.0,115340300.0,115340300.0,null,-0.84,-2.11,-23.9,1511797753
hshare,Hshare,HSR,20,19.6869,0.00203645,63816400.0,832792944.0,42301883.0,42301883.0,84000000.0,1.22,-3.09,7.63,1511797771
tether,Tether,USDT,21,1.00254,0.0001037,884039000.0,676682258.0,674967839.0,675000482.0,null,0.09,-0.26,0.3,1511797749
bitconnect,BitConnect,BCC,22,299.295,0.0309597,28651500.0,639920245.0,2138092.0,8392580.0,28000000.0,0.41,-0.57,2.95,1511797760
waves,Waves,WAVES,23,5.74433,0.00059421,27048800.0,574433000.0,100000000.0,100000000.0,null,-0.02,1.28,8.47,1511797756
stratis,Stratis,STRAT,24,4.92211,0.00050915,18714900.0,485509553.0,98638501.0,98638501.0,null,-1.5,7.11,40.77,1511797758
populous,Populous,PPT,25,11.4114,0.00118041,1007010.0,470745880.0,41252246.0,53252246.0,53252246.0,0.21,3.48,23.65,1511797767
bitshares,BitShares,BTS,26,0.146307,0.00001513,27014700.0,380815175.0,2602850000.0,2602850000.0,3600570502.0,0.31,6.04,25.17,1511797745
ark,Ark,ARK,27,3.71684,0.00038448,9807460.0,364180756.0,97981284.0,129231284.0,null,5.2,7.98,18.07,1511797762
decred,Decred,DCR,28,57.5871,0.00595693,17610100.0,359601269.0,6244476.0,6664476.0,null,-1.35,5.07,67.38,1511797751
ardor,Ardor,ARDR,29,0.337431,0.00003490,4994130.0,337093399.0,998999495.0,998999495.0,998999495.0,0.35,12.34,33.49,1511797755
komodo,Komodo,KMD,30,3.14358,0.00032518,11015500.0,325761853.0,103627664.0,103627664.0,null,-2.83,9.76,29.46,1511797759
monacoin,MonaCoin,MONA,31,5.76246,0.00059608,23177500.0,320501686.0,55618900.0,55618900.0,null,3.51,27.42,91.61,1511797744
augur,Augur,REP,32,27.8697,0.0028829,2181530.0,306566700.0,11000000.0,11000000.0,null,0.57,1.02,36.31,1511797765
bytecoin-bcn,Bytecoin,BCN,33,0.00165919,0.00000017,3996820.0,304052432.0,183253534612,183253534612,184470000000,1.27,0.8,29.62,1511797746
steem,Steem,STEEM,34,1.11664,0.00011551,2646180.0,275501917.0,246724027.0,263698121.0,null,0.21,6.22,22.31,1511797752
raiden-network-token,Raiden Network Token,RDN,35,5.12709,0.00053036,21411800.0,256354500.0,50000000.0,100000000.0,null,-0.77,12.24,96.64,1511797778
golem-network-tokens,Golem,GNT,36,0.305931,0.00003165,11329100.0,254850313.0,833032000.0,1000000000.0,null,-3.43,15.69,41.71,1511797757
power-ledger,Power Ledger,POWR,37,0.670648,0.00006937,38788000.0,234964813.0,350354900.0,1000000000.0,null,-1.53,-13.3,2.75,1511797776
tenx,TenX,PAY,38,2.24393,0.00023212,7583920.0,234852653.0,104661310.0,205218256.0,null,-0.91,1.39,8.65,1511797766
exchange-union,Exchange Union,XUC,39,9.00038,0.00093102,2761890.0,223196265.0,24798538.0,3000000000.0,null,3.17,13.38,198.1,1511797775
maidsafecoin,MaidSafeCoin,MAID,40,0.490528,0.00005074,2788450.0,221989630.0,452552412.0,452552412.0,null,1.09,4.25,25.29,1511797743
dogecoin,Dogecoin,DOGE,41,0.00195559,0.00000020,8061540.0,219227023.0,112102753173,112102753173,null,-0.68,-1.97,40.37,1511797742
nxt,Nxt,NXT,42,0.218579,0.00002261,55152600.0,218360408.0,998999942.0,998999942.0,1000000000.0,7.43,49.36,151.4,1511797741
vertcoin,Vertcoin,VTC,43,5.23961,0.000542,15095900.0,217872153.0,41581750.0,41581750.0,84000000.0,-0.73,-2.47,25.97,1511797742
salt,SALT,SALT,44,4.34496,0.00044945,8449330.0,213951685.0,49241347.0,120000000.0,null,0.64,6.93,19.0,1511797773
digixdao,DigixDAO,DGD,45,105.197,0.0108818,13382200.0,210394000.0,2000000.0,2000000.0,null,-6.54,19.43,46.8,1511797752
pivx,PIVX,PIVX,46,3.71292,0.00038407,2323370.0,204242515.0,55008596.0,55008596.0,null,-0.71,8.0,24.55,1511797752
factom,Factom,FCT,47,22.3934,0.00231642,4046470.0,195832567.0,8745102.0,8745102.0,null,-0.43,0.01,17.28,1511797751
gas,Gas,GAS,48,22.3288,0.00230974,1916920.0,191961484.0,8597035.0,11822072.0,100000000.0,0.78,1.06,-5.78,1511797768
veritaseum,Veritaseum,VERI,49,92.6259,0.00958143,494786.0,187664282.0,2026045.0,100000000.0,null,-3.66,4.46,-11.23,1511797765
siacoin,Siacoin,SC,50,0.00596188,0.00000062,3547460.0,185863883.0,31175381379.0,31175381379.0,null,-0.32,10.92,38.37,1511797750
bitcoindark,BitcoinDark,BTCD,51,143.677,0.0148622,162792.0,185179852.0,1288862.0,1288862.0,null,1.07,7.96,26.84,1511797745
basic-attention-token,Basic Attention Token,BAT,52,0.183699,0.00001900,4327580.0,183699000.0,1000000000.0,1500000000.0,null,-0.03,6.98,15.23,1511797765
byteball,Byteball Bytes,GBYTE,53,283.325,0.0293077,1518340.0,182807538.0,645222.0,1000000.0,null,-0.69,10.34,14.31,1511797758
binance-coin,Binance Coin,BNB,54,1.82196,0.00018847,22178600.0,180399547.0,99014000.0,199013968.0,null,0.5,-3.24,12.59,1511797768
syscoin,Syscoin,SYS,55,0.330422,0.00003418,22465900.0,174844998.0,529156647.0,529156647.0,888000000.0,1.46,1.96,59.46,1511797751
kyber-network,Kyber Network,KNC,56,1.24294,0.00012857,8559130.0,166718894.0,134132697.0,215625349.0,null,-0.59,-2.3,11.9,1511797772
iconomi,Iconomi,ICN,57,1.6588,0.00017159,1207140.0,165528856.0,99788314.0,99788314.0,null,-0.1,1.2,44.67,1511797757
gamecredits,GameCredits,GAME,58,2.14965,0.00022237,2605650.0,138341482.0,64355352.0,64355352.0,null,-1.7,0.34,10.7,1511797747
status,Status,SNT,59,0.0395374,0.00000409,7908440.0,137213906.0,3470483788.0,6804870174.0,null,-0.26,11.04,21.92,1511797766
gnosis-gno,Gnosis,GNO,60,123.825,0.0128087,2428710.0,136775857.0,1104590.0,10000000.0,null,6.69,11.44,75.89,1511797764
tron,TRON,TRX,61,0.00204579,0.00000021,6771600.0,134404705.0,65698192475.0,100000000000,null,-1.76,-1.54,-3.1,1511797772
zcoin,ZCoin,XZC,62,37.9421,0.00392482,9019350.0,133969090.0,3530882.0,3530882.0,null,0.8,5.55,56.2,1511797759
bytom,Bytom,BTM,63,0.135633,0.00001403,1967390.0,133869771.0,987000000.0,1407000000.0,null,8.45,30.42,16.03,1511797771
metaverse,Metaverse ETP,ETP,64,3.6464,0.00037719,6674970.0,133022245.0,36480431.0,55880431.0,100000000.0,-0.66,-0.77,14.23,1511797765
aeternity,Aeternity,AE,65,0.566438,0.00005859,1562820.0,131991650.0,233020472.0,273685830.0,null,-2.21,-2.03,-0.83,1511797765
blocknet,Blocknet,BLOCK,66,25.1135,0.00259779,336659.0,123127178.0,4902828.0,4902828.0,null,3.82,5.55,12.27,1511797747
ethos,Ethos,ETHOS,67,1.6508,0.00017076,1516770.0,123027883.0,74526219.0,222295208.0,null,-0.5,-5.18,-6.18,1511797769
civic,Civic,CVC,68,0.350892,0.00003630,3223640.0,120250688.0,342700000.0,1000000000.0,null,0.05,2.93,0.72,1511797768
gxshares,GXShares,GXS,69,2.95332,0.0003055,10034300.0,119638993.0,40510000.0,100000000.0,100000000.0,-0.28,0.74,28.03,1511797766
