id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9814.86,1.0,5647770000.0,163960671501,16705350.0,16705350.0,21000000.0,0.98,4.36,20.53,1511826553
ethereum,Ethereum,ETH,2,481.711,0.0494485,1395510000.0,46241577054.0,95994439.0,95994439.0,null,0.07,2.27,31.78,1511826551
bitcoin-cash,Bitcoin Cash,BCH,3,1632.52,0.167581,1395490000.0,27468210138.0,16825650.0,16825650.0,21000000.0,-1.19,-5.01,36.92,1511826568
ripple,Ripple,XRP,4,0.254038,0.00002611,196618000.0,9811676753.0,38622870411.0,99993173757.0,100000000000,0.46,1.85,6.33,1511826841
bitcoin-gold,Bitcoin Gold,BTG,5,359.775,0.0369315,131169000.0,5999360047.0,16675311.0,16775311.0,21000000.0,-1.24,0.64,76.29,1511826576
litecoin,Litecoin,LTC,6,91.5563,0.00939841,429116000.0,4946206253.0,54023658.0,54023658.0,84000000.0,0.87,6.14,27.79,1511826541
dash,Dash,DASH,7,635.376,0.0652224,134757000.0,4901562839.0,7714429.0,7714429.0,18900000.0,-0.08,1.38,37.85,1511826546
iota,IOTA,MIOTA,8,1.0616,0.00010898,176875000.0,2950749348.0,2779530283.0,2779530283.0,2779530283.0,0.45,28.46,12.12,1511826566
monero,Monero,XMR,9,172.083,0.0176646,79652800.0,2651412511.0,15407754.0,15407754.0,null,2.63,5.2,24.7,1511826543
neo,NEO,NEO,10,40.1477,0.00412123,83212700.0,2609600500.0,65000000.0,100000000.0,null,1.18,3.98,9.3,1511826555
ethereum-classic,Ethereum Classic,ETC,11,25.8401,0.00265253,718789000.0,2528685777.0,97858978.0,97858978.0,null,-1.63,17.25,41.06,1511826559
nem,NEM,XEM,12,0.225522,0.00002315,12669000.0,2029698000.0,8999999999.0,8999999999.0,null,1.93,4.71,7.56,1511826549
eos,EOS,EOS,13,2.87791,0.00029542,127639000.0,1446750872.0,502708866.0,1000000000.0,null,0.51,16.36,44.74,1511826567
cardano,Cardano,ADA,14,0.0499712,0.00000513,78101600.0,1295606827.0,25927070538.0,31112483745.0,45000000000.0,-3.87,32.42,68.78,1511826572
qtum,Qtum,QTUM,15,14.8453,0.0015239,141500000.0,1093988695.0,73692596.0,100192596.0,null,0.91,0.36,0.43,1511826564
stellar,Stellar Lumens,XLM,16,0.0592371,0.00000608,44625000.0,1049317340.0,17713853990.0,103452109577,null,6.48,22.07,54.92,1511826546
omisego,OmiseGO,OMG,17,9.47906,0.00097304,54348300.0,967267471.0,102042552.0,140245398.0,null,3.83,10.85,18.88,1511826567
zcash,Zcash,ZEC,18,345.008,0.0354157,89895800.0,936401307.0,2714144.0,2714144.0,null,1.11,0.88,14.9,1511826557
lisk,Lisk,LSK,19,7.91293,0.00081227,29167400.0,912770719.0,115351800.0,115351800.0,null,-0.41,4.76,-19.34,1511826553
hshare,Hshare,HSR,20,19.8321,0.0020358,63474400.0,838962054.0,42303238.0,42303238.0,84000000.0,1.12,-4.35,8.83,1511826569
tether,Tether,USDT,21,1.00324,0.00010299,785857000.0,677154735.0,674967839.0,675000482.0,null,0.09,-0.56,0.32,1511826549
bitconnect,BitConnect,BCC,22,300.772,0.0308747,28563300.0,643078207.0,2138092.0,8392580.0,28000000.0,0.66,0.02,2.83,1511826558
waves,Waves,WAVES,23,5.6518,0.00058017,24833700.0,565180000.0,100000000.0,100000000.0,null,0.11,-0.62,8.25,1511826553
stratis,Stratis,STRAT,24,5.35613,0.00054982,21805700.0,528322944.0,98638932.0,98638932.0,null,0.82,16.78,55.03,1511826555
