id,name,symbol,rank,price_usd,price_btc,h24_volume_usd,market_cap_usd,avail_sup,tot_sup,max_supply,per_change_1h,per_change_24h,per_change_7d,last_updated
bitcoin,Bitcoin,BTC,1,9603.2,1.0,6052640000.0,160420850998,16704937.0,16704937.0,21000000.0,-0.48,2.48,16.94,1511804953
ethereum,Ethereum,ETH,2,473.856,0.0498239,1454280000.0,45485119275.0,95989329.0,95989329.0,null,-0.76,3.57,30.14,1511804953
bitcoin-cash,Bitcoin Cash,BCH,3,1636.1,0.172029,1924550000.0,27527852879.0,16825288.0,16825288.0,21000000.0,-0.37,2.24,37.65,1511804969
ripple,Ripple,XRP,4,0.251503,0.00002644,196383000.0,9713767777.0,38622870411.0,99993173757.0,100000000000,-0.32,0.42,4.64,1511804941
bitcoin-gold,Bitcoin Gold,BTG,5,359.027,0.0377501,139846000.0,5986734328.0,16674886.0,16774886.0,21000000.0,-0.44,4.67,172.79,1511804976
dash,Dash,DASH,6,629.21,0.0661587,145823000.0,4853671489.0,7713913.0,7713913.0,18900000.0,-0.16,0.81,41.24,1511804946
litecoin,Litecoin,LTC,7,89.2326,0.00938242,438606000.0,4820348010.0,54020033.0,54020033.0,84000000.0,-1.21,4.1,23.85,1511804941
iota,IOTA,MIOTA,8,0.958844,0.00010082,119581000.0,2665135935.0,2779530283.0,2779530283.0,2779530283.0,-0.31,20.59,0.07,1511804966
monero,Monero,XMR,9,166.74,0.017532,75528900.0,2568932432.0,15406816.0,15406816.0,null,0.15,2.59,21.73,1511804944
neo,NEO,NEO,10,39.283,0.00413043,87500200.0,2553395000.0,65000000.0,100000000.0,null,-0.43,1.52,-0.53,1511804959
ethereum-classic,Ethereum Classic,ETC,11,25.8039,0.00271317,651885000.0,2524934064.0,97850870.0,97850870.0,null,0.97,16.52,39.09,1511804956
nem,NEM,XEM,12,0.218276,0.00002295,12169600.0,1964484000.0,8999999999.0,8999999999.0,null,-0.42,0.45,3.17,1511804948
